|dates|Gloucester_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Gloucester_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Gloucester_NewJersey_UnitedStates.Male_Total_Population.data|Gloucester_NewJersey_UnitedStates.Male_Total_Population.missing|Gloucester_NewJersey_UnitedStates.Female_Total_Population.data|Gloucester_NewJersey_UnitedStates.Female_Total_Population.missing|Gloucester_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.data|Gloucester_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-10-18|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-10-19|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-10-20|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-10-21|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-10-22|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-10-23|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-10-24|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-10-25|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-10-26|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-10-27|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-10-28|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-10-29|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-10-30|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-10-31|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-01|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-02|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-03|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-04|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-05|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-06|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-07|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-08|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-09|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-10|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-11|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-12|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-13|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-14|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-15|46126.0|0|141789.0|0|149619.0|0|63440.0|0
0|2021-11-16|46126.0|0|141789.0|0|149619.0|0|63440.0|0
