|dates|RichmondCity_Virginia_UnitedStates.BLS_EmployedPopulation.data|RichmondCity_Virginia_UnitedStates.BLS_EmployedPopulation.missing|RichmondCity_Virginia_UnitedStates.BLS_UnemployedPopulation.data|RichmondCity_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|RichmondCity_Virginia_UnitedStates.BLS_UnemploymentRate.data|RichmondCity_Virginia_UnitedStates.BLS_UnemploymentRate.missing|RichmondCity_Virginia_UnitedStates.BLS_LaborForcePopulation.data|RichmondCity_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-12-18|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2021-12-19|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2021-12-20|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2021-12-21|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2021-12-22|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2021-12-23|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2021-12-24|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2021-12-25|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2021-12-26|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2021-12-27|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2021-12-28|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2021-12-29|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2021-12-30|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2021-12-31|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-01|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-02|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-03|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-04|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-05|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-06|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-07|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-08|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-09|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-10|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-11|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-12|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-13|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-14|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-15|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-16|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
0|2022-01-17|106919.0|0|6625.0|0|5.834742478686676|0|113544.0|0
