|dates|Hooker_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hooker_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hooker_Nebraska_UnitedStates.Male_Total_Population.data|Hooker_Nebraska_UnitedStates.Male_Total_Population.missing|Hooker_Nebraska_UnitedStates.Female_Total_Population.data|Hooker_Nebraska_UnitedStates.Female_Total_Population.missing|Hooker_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Hooker_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-10-18|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-10-19|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-10-20|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-10-21|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-10-22|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-10-23|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-10-24|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-10-25|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-10-26|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-10-27|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-10-28|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-10-29|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-10-30|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-10-31|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-01|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-02|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-03|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-04|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-05|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-06|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-07|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-08|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-09|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-10|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-11|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-12|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-13|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-14|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-15|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-16|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-17|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-18|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-19|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-20|208.0|0|329.0|0|353.0|0|151.0|0
0|2021-11-21|208.0|0|329.0|0|353.0|0|151.0|0
