|dates|Marshall_Indiana_UnitedStates.JHU_ConfirmedCases.data|Marshall_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Marshall_Indiana_UnitedStates.NYT_ConfirmedCases.data|Marshall_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Marshall_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Marshall_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Marshall_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Marshall_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7786.0|0|7792.0|0|134.0|0|0.0|100
0|2021-10-18|7838.0|0|7844.0|0|134.0|0|0.0|100
0|2021-10-19|7854.0|0|7860.0|0|134.0|0|0.0|100
0|2021-10-20|7891.0|0|7897.0|0|135.0|0|0.0|100
0|2021-10-21|7916.0|0|7922.0|0|135.0|0|0.0|100
0|2021-10-22|7939.0|0|7945.0|0|135.0|0|0.0|100
0|2021-10-23|7939.0|0|7945.0|0|135.0|0|0.0|100
0|2021-10-24|7939.0|0|7945.0|0|135.0|0|0.0|100
0|2021-10-25|7981.0|0|7988.0|0|135.0|0|0.0|100
0|2021-10-26|7995.0|0|8002.0|0|135.0|0|0.0|100
0|2021-10-27|8026.0|0|8033.0|0|136.0|0|0.0|100
0|2021-10-28|8054.0|0|8061.0|0|136.0|0|0.0|100
0|2021-10-29|8091.0|0|8098.0|0|136.0|0|0.0|100
0|2021-10-30|8091.0|0|8098.0|0|136.0|0|0.0|100
0|2021-10-31|8091.0|0|8098.0|0|136.0|0|0.0|100
0|2021-11-01|8138.0|0|8145.0|0|137.0|0|0.0|100
0|2021-11-02|8148.0|0|8155.0|0|137.0|0|0.0|100
0|2021-11-03|8180.0|0|8187.0|0|138.0|0|0.0|100
0|2021-11-04|8207.0|0|8214.0|0|138.0|0|0.0|100
0|2021-11-05|8239.0|0|8246.0|0|139.0|0|0.0|100
0|2021-11-06|8239.0|0|8246.0|0|139.0|0|0.0|100
0|2021-11-07|8239.0|0|8246.0|0|139.0|0|0.0|100
0|2021-11-08|8291.0|0|8298.0|0|139.0|0|0.0|100
