|dates|Butler_Iowa_UnitedStates.JHU_ConfirmedCases.data|Butler_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Butler_Iowa_UnitedStates.NYT_ConfirmedCases.data|Butler_Iowa_UnitedStates.NYT_ConfirmedCases.missing|Butler_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Butler_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Butler_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Butler_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2032.0|0|2033.0|0|37.0|0|0.0|100
0|2021-10-18|2032.0|0|2033.0|0|37.0|0|0.0|100
0|2021-10-19|2032.0|0|2033.0|0|37.0|0|0.0|100
0|2021-10-20|2066.0|0|2067.0|0|38.0|0|0.0|100
0|2021-10-21|2066.0|0|2067.0|0|38.0|0|0.0|100
0|2021-10-22|2066.0|0|2067.0|0|38.0|0|0.0|100
0|2021-10-23|2066.0|0|2067.0|0|38.0|0|0.0|100
0|2021-10-24|2066.0|0|2067.0|0|38.0|0|0.0|100
0|2021-10-25|2066.0|0|2067.0|0|38.0|0|0.0|100
0|2021-10-26|2066.0|0|2067.0|0|38.0|0|0.0|100
0|2021-10-27|2111.0|0|2113.0|0|39.0|0|0.0|100
0|2021-10-28|2111.0|0|2113.0|0|39.0|0|0.0|100
0|2021-10-29|2111.0|0|2113.0|0|39.0|0|0.0|100
0|2021-10-30|2111.0|0|2113.0|0|39.0|0|0.0|100
0|2021-10-31|2111.0|0|2113.0|0|39.0|0|0.0|100
0|2021-11-01|2111.0|0|2113.0|0|39.0|0|0.0|100
0|2021-11-02|2152.0|0|2113.0|0|39.0|0|0.0|100
0|2021-11-03|2152.0|0|2155.0|0|39.0|0|0.0|100
0|2021-11-04|2152.0|0|2155.0|0|39.0|0|0.0|100
0|2021-11-05|2152.0|0|2155.0|0|39.0|0|0.0|100
0|2021-11-06|2152.0|0|2155.0|0|39.0|0|0.0|100
0|2021-11-07|2152.0|0|2155.0|0|39.0|0|0.0|100
0|2021-11-08|2152.0|0|2155.0|0|39.0|0|0.0|100
0|2021-11-09|2152.0|0|2155.0|0|39.0|0|0.0|100
0|2021-11-10|2152.0|0|2202.0|0|39.0|0|0.0|100
0|2021-11-11|2194.0|0|2202.0|0|41.0|0|0.0|100
0|2021-11-12|2194.0|0|2202.0|0|41.0|0|0.0|100
0|2021-11-13|2194.0|0|2202.0|0|41.0|0|0.0|100
0|2021-11-14|2194.0|0|2202.0|0|41.0|0|0.0|100
0|2021-11-15|2194.0|0|2202.0|0|41.0|0|0.0|100
0|2021-11-16|2194.0|0|2202.0|0|41.0|0|0.0|100
0|2021-11-17|2267.0|0|2270.0|0|42.0|0|0.0|100
0|2021-11-18|2267.0|0|2270.0|0|42.0|0|0.0|100
0|2021-11-19|2267.0|0|2270.0|0|42.0|0|0.0|100
0|2021-11-20|2267.0|0|2270.0|0|42.0|0|0.0|100
0|2021-11-21|2267.0|0|2270.0|0|42.0|0|0.0|100
0|2021-11-22|2267.0|0|2270.0|0|42.0|0|0.0|100
0|2021-11-23|2267.0|0|2270.0|0|42.0|0|0.0|100
0|2021-11-24|2327.0|0|2334.0|0|44.0|0|0.0|100
0|2021-11-25|2327.0|0|2334.0|0|44.0|0|0.0|100
0|2021-11-26|2327.0|0|2334.0|0|44.0|0|0.0|100
0|2021-11-27|2327.0|0|2334.0|0|44.0|0|0.0|100
0|2021-11-28|2327.0|0|2334.0|0|44.0|0|0.0|100
0|2021-11-29|2327.0|0|2334.0|0|44.0|0|0.0|100
0|2021-11-30|2327.0|0|2334.0|0|44.0|0|0.0|100
