|dates|Isabella_Michigan_UnitedStates.JHU_ConfirmedCases.data|Isabella_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Isabella_Michigan_UnitedStates.NYT_ConfirmedCases.data|Isabella_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Isabella_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Isabella_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Isabella_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Isabella_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8538.0|0|8538.0|0|111.0|0|0.0|100
0|2021-10-18|8645.0|0|8645.0|0|111.0|0|0.0|100
0|2021-10-19|8645.0|0|8645.0|0|111.0|0|0.0|100
0|2021-10-20|8743.0|0|8743.0|0|113.0|0|0.0|100
0|2021-10-21|8743.0|0|8743.0|0|113.0|0|0.0|100
0|2021-10-22|8853.0|0|8853.0|0|116.0|0|0.0|100
0|2021-10-23|8853.0|0|8853.0|0|116.0|0|0.0|100
0|2021-10-24|8853.0|0|8853.0|0|116.0|0|0.0|100
0|2021-10-25|8936.0|0|8936.0|0|117.0|0|0.0|100
0|2021-10-26|8936.0|0|8936.0|0|117.0|0|0.0|100
0|2021-10-27|9062.0|0|9062.0|0|120.0|0|0.0|100
0|2021-10-28|9062.0|0|9062.0|0|120.0|0|0.0|100
0|2021-10-29|9168.0|0|9168.0|0|124.0|0|0.0|100
0|2021-10-30|9168.0|0|9168.0|0|124.0|0|0.0|100
0|2021-10-31|9168.0|0|9168.0|0|124.0|0|0.0|100
0|2021-11-01|9255.0|0|9255.0|0|125.0|0|0.0|100
0|2021-11-02|9255.0|0|9255.0|0|125.0|0|0.0|100
0|2021-11-03|9353.0|0|9353.0|0|130.0|0|0.0|100
0|2021-11-04|9353.0|0|9353.0|0|130.0|0|0.0|100
0|2021-11-05|9438.0|0|9438.0|0|133.0|0|0.0|100
0|2021-11-06|9438.0|0|9438.0|0|133.0|0|0.0|100
0|2021-11-07|9438.0|0|9438.0|0|133.0|0|0.0|100
