|dates|Henry_Virginia_UnitedStates.BLS_EmployedPopulation.data|Henry_Virginia_UnitedStates.BLS_EmployedPopulation.missing|Henry_Virginia_UnitedStates.BLS_UnemployedPopulation.data|Henry_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|Henry_Virginia_UnitedStates.BLS_UnemploymentRate.data|Henry_Virginia_UnitedStates.BLS_UnemploymentRate.missing|Henry_Virginia_UnitedStates.BLS_LaborForcePopulation.data|Henry_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-10-18|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-10-19|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-10-20|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-10-21|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-10-22|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-10-23|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-10-24|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-10-25|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-10-26|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-10-27|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-10-28|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-10-29|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-10-30|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-10-31|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-11-01|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-11-02|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-11-03|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-11-04|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-11-05|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-11-06|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-11-07|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-11-08|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-11-09|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-11-10|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
0|2021-11-11|22688.0|0|1146.0|0|4.8082571116891835|0|23834.0|0
