|dates|Waushara_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Waushara_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Waushara_Wisconsin_UnitedStates.NYT_ConfirmedCases.data|Waushara_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing|Waushara_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Waushara_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Waushara_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Waushara_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-27|4473.0|0|4473.0|0|69.0|0|0.0|100
0|2021-12-28|4478.0|0|4478.0|0|69.0|0|0.0|100
0|2021-12-29|4520.0|0|4520.0|0|70.0|0|0.0|100
0|2021-12-30|4542.0|0|4542.0|0|72.0|0|0.0|100
0|2021-12-31|4573.0|0|4573.0|0|72.0|0|0.0|100
0|2022-01-01|4573.0|0|4573.0|0|72.0|0|0.0|100
0|2022-01-02|4573.0|0|4573.0|0|72.0|0|0.0|100
0|2022-01-03|4584.0|0|4584.0|0|73.0|0|0.0|100
0|2022-01-04|4584.0|0|4654.0|0|73.0|0|0.0|100
0|2022-01-05|4684.0|0|4684.0|0|73.0|0|0.0|100
0|2022-01-06|4722.0|0|4722.0|0|74.0|0|0.0|100
0|2022-01-07|4772.0|0|4772.0|0|74.0|0|0.0|100
0|2022-01-08|4772.0|0|4772.0|0|74.0|0|0.0|100
0|2022-01-09|4772.0|0|4772.0|0|74.0|0|0.0|100
0|2022-01-10|4828.0|0|4828.0|0|74.0|0|0.0|100
0|2022-01-11|4958.0|0|4958.0|0|74.0|0|0.0|100
0|2022-01-12|5023.0|0|5023.0|0|74.0|0|0.0|100
0|2022-01-13|5023.0|0|5105.0|0|74.0|0|0.0|100
0|2022-01-14|5228.0|0|5228.0|0|75.0|0|0.0|100
0|2022-01-15|5228.0|0|5228.0|0|75.0|0|0.0|100
0|2022-01-16|5228.0|0|5228.0|0|75.0|0|0.0|100
0|2022-01-17|5375.0|0|0.0|100|75.0|0|0.0|100
