|dates|Mohave_Arizona_UnitedStates.JHU_ConfirmedCases.data|Mohave_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Mohave_Arizona_UnitedStates.NYT_ConfirmedCases.data|Mohave_Arizona_UnitedStates.NYT_ConfirmedCases.missing|Mohave_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Mohave_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Mohave_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Mohave_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|32482.0|0|32482.0|0|958.0|0|0.0|100
0|2021-10-18|32482.0|0|32482.0|0|958.0|0|0.0|100
0|2021-10-19|32661.0|0|32661.0|0|964.0|0|0.0|100
0|2021-10-20|32722.0|0|32722.0|0|967.0|0|0.0|100
0|2021-10-21|32794.0|0|32794.0|0|968.0|0|0.0|100
0|2021-10-22|32897.0|0|32897.0|0|968.0|0|0.0|100
0|2021-10-23|32977.0|0|32977.0|0|974.0|0|0.0|100
0|2021-10-24|32974.0|0|32974.0|0|976.0|0|0.0|100
0|2021-10-25|33000.0|0|33000.0|0|976.0|0|0.0|100
0|2021-10-26|33008.0|0|33008.0|0|980.0|0|0.0|100
0|2021-10-27|33222.0|0|33222.0|0|984.0|0|0.0|100
0|2021-10-28|33327.0|0|33327.0|0|984.0|0|0.0|100
0|2021-10-29|33431.0|0|33431.0|0|985.0|0|0.0|100
0|2021-10-30|33506.0|0|33506.0|0|988.0|0|0.0|100
0|2021-10-31|33514.0|0|33514.0|0|988.0|0|0.0|100
0|2021-11-01|33602.0|0|33602.0|0|988.0|0|0.0|100
0|2021-11-02|33677.0|0|33677.0|0|988.0|0|0.0|100
0|2021-11-03|33726.0|0|33726.0|0|995.0|0|0.0|100
0|2021-11-04|33799.0|0|33799.0|0|998.0|0|0.0|100
0|2021-11-05|33901.0|0|33901.0|0|999.0|0|0.0|100
0|2021-11-06|34017.0|0|34017.0|0|999.0|0|0.0|100
0|2021-11-07|34093.0|0|34093.0|0|999.0|0|0.0|100
0|2021-11-08|34108.0|0|34108.0|0|999.0|0|0.0|100
0|2021-11-09|34261.0|0|34261.0|0|1004.0|0|0.0|100
0|2021-11-10|34261.0|0|34338.0|0|1004.0|0|0.0|100
0|2021-11-11|34463.0|0|34463.0|0|1004.0|0|0.0|100
0|2021-11-12|34474.0|0|34474.0|0|1007.0|0|0.0|100
0|2021-11-13|34676.0|0|34676.0|0|1008.0|0|0.0|100
0|2021-11-14|34653.0|0|34653.0|0|1008.0|0|0.0|100
0|2021-11-15|34726.0|0|34726.0|0|1008.0|0|0.0|100
0|2021-11-16|34911.0|0|34911.0|0|1010.0|0|0.0|100
0|2021-11-17|34994.0|0|34994.0|0|1012.0|0|0.0|100
0|2021-11-18|35116.0|0|35116.0|0|1017.0|0|0.0|100
0|2021-11-19|35220.0|0|35220.0|0|1021.0|0|0.0|100
0|2021-11-20|35329.0|0|35329.0|0|1026.0|0|0.0|100
0|2021-11-21|35340.0|0|35340.0|0|1026.0|0|0.0|100
0|2021-11-22|35420.0|0|35420.0|0|1026.0|0|0.0|100
0|2021-11-23|35503.0|0|35503.0|0|1038.0|0|0.0|100
0|2021-11-24|35663.0|0|35663.0|0|1041.0|0|0.0|100
0|2021-11-25|35686.0|0|35686.0|0|1045.0|0|0.0|100
0|2021-11-26|35690.0|0|35690.0|0|1045.0|0|0.0|100
0|2021-11-27|35841.0|0|35841.0|0|1046.0|0|0.0|100
0|2021-11-28|35865.0|0|35865.0|0|1044.0|0|0.0|100
0|2021-11-29|35903.0|0|35903.0|0|1044.0|0|0.0|100
0|2021-11-30|35903.0|0|36025.0|0|1044.0|0|0.0|100
0|2021-12-01|36153.0|0|36153.0|0|1046.0|0|0.0|100
0|2021-12-02|36291.0|0|36291.0|0|1047.0|0|0.0|100
0|2021-12-03|36397.0|0|36397.0|0|1053.0|0|0.0|100
0|2021-12-04|36550.0|0|36550.0|0|1056.0|0|0.0|100
0|2021-12-05|36581.0|0|36581.0|0|1057.0|0|0.0|100
0|2021-12-06|36666.0|0|36666.0|0|1057.0|0|0.0|100
0|2021-12-07|36779.0|0|36779.0|0|1065.0|0|0.0|100
0|2021-12-08|36830.0|0|36830.0|0|1068.0|0|0.0|100
0|2021-12-09|36957.0|0|36957.0|0|1069.0|0|0.0|100
