|dates|GreenLake_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|GreenLake_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|GreenLake_Wisconsin_UnitedStates.NYT_ConfirmedCases.data|GreenLake_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing|GreenLake_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|GreenLake_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|GreenLake_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|GreenLake_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2972.0|0|2972.0|0|30.0|0|0.0|100
0|2021-10-18|2973.0|0|2973.0|0|30.0|0|0.0|100
0|2021-10-19|2992.0|0|2992.0|0|30.0|0|0.0|100
0|2021-10-20|3000.0|0|3000.0|0|30.0|0|0.0|100
0|2021-10-21|3011.0|0|3011.0|0|30.0|0|0.0|100
0|2021-10-22|3020.0|0|3020.0|0|30.0|0|0.0|100
0|2021-10-23|3020.0|0|3020.0|0|30.0|0|0.0|100
0|2021-10-24|3020.0|0|3020.0|0|30.0|0|0.0|100
0|2021-10-25|3036.0|0|3036.0|0|31.0|0|0.0|100
0|2021-10-26|3061.0|0|3061.0|0|31.0|0|0.0|100
0|2021-10-27|3071.0|0|3071.0|0|31.0|0|0.0|100
0|2021-10-28|3078.0|0|3078.0|0|32.0|0|0.0|100
0|2021-10-29|3083.0|0|3083.0|0|32.0|0|0.0|100
0|2021-10-30|3083.0|0|3083.0|0|32.0|0|0.0|100
0|2021-10-31|3083.0|0|3083.0|0|32.0|0|0.0|100
0|2021-11-01|3096.0|0|3096.0|0|32.0|0|0.0|100
0|2021-11-02|3111.0|0|3111.0|0|32.0|0|0.0|100
0|2021-11-03|3119.0|0|3119.0|0|32.0|0|0.0|100
0|2021-11-04|3139.0|0|3139.0|0|32.0|0|0.0|100
0|2021-11-05|3146.0|0|3146.0|0|32.0|0|0.0|100
0|2021-11-06|3146.0|0|3146.0|0|32.0|0|0.0|100
0|2021-11-07|3146.0|0|3146.0|0|32.0|0|0.0|100
0|2021-11-08|3156.0|0|3156.0|0|35.0|0|0.0|100
0|2021-11-09|3171.0|0|3171.0|0|35.0|0|0.0|100
0|2021-11-10|3171.0|0|3187.0|0|35.0|0|0.0|100
0|2021-11-11|3200.0|0|3200.0|0|36.0|0|0.0|100
0|2021-11-12|3208.0|0|3208.0|0|36.0|0|0.0|100
0|2021-11-13|3208.0|0|3208.0|0|36.0|0|0.0|100
0|2021-11-14|3208.0|0|3208.0|0|36.0|0|0.0|100
0|2021-11-15|3218.0|0|3218.0|0|36.0|0|0.0|100
0|2021-11-16|3235.0|0|3235.0|0|36.0|0|0.0|100
0|2021-11-17|3251.0|0|3251.0|0|36.0|0|0.0|100
0|2021-11-18|3274.0|0|3274.0|0|36.0|0|0.0|100
0|2021-11-19|3288.0|0|3288.0|0|36.0|0|0.0|100
