|dates|Tangipahoa_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Tangipahoa_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Tangipahoa_Louisiana_UnitedStates.NYT_ConfirmedCases.data|Tangipahoa_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|Tangipahoa_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Tangipahoa_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Tangipahoa_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Tangipahoa_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|22581.0|0|22581.0|0|497.0|0|0.0|100
0|2021-10-18|22613.0|0|22613.0|0|499.0|0|0.0|100
0|2021-10-19|22633.0|0|22633.0|0|501.0|0|0.0|100
0|2021-10-20|22639.0|0|22639.0|0|501.0|0|0.0|100
0|2021-10-21|22674.0|0|22674.0|0|502.0|0|0.0|100
0|2021-10-22|22690.0|0|22690.0|0|502.0|0|0.0|100
0|2021-10-23|22690.0|0|22690.0|0|502.0|0|0.0|100
0|2021-10-24|22690.0|0|22690.0|0|502.0|0|0.0|100
0|2021-10-25|22708.0|0|22708.0|0|504.0|0|0.0|100
0|2021-10-26|22721.0|0|22721.0|0|505.0|0|0.0|100
0|2021-10-27|22742.0|0|22742.0|0|505.0|0|0.0|100
0|2021-10-28|22750.0|0|22750.0|0|511.0|0|0.0|100
0|2021-10-29|22757.0|0|22757.0|0|511.0|0|0.0|100
0|2021-10-30|22757.0|0|22757.0|0|511.0|0|0.0|100
0|2021-10-31|22757.0|0|22757.0|0|511.0|0|0.0|100
0|2021-11-01|22781.0|0|22781.0|0|511.0|0|0.0|100
0|2021-11-02|22785.0|0|22785.0|0|511.0|0|0.0|100
0|2021-11-03|22797.0|0|22797.0|0|511.0|0|0.0|100
0|2021-11-04|22812.0|0|22812.0|0|512.0|0|0.0|100
0|2021-11-05|22813.0|0|22813.0|0|514.0|0|0.0|100
0|2021-11-06|22813.0|0|22813.0|0|514.0|0|0.0|100
0|2021-11-07|22813.0|0|22813.0|0|514.0|0|0.0|100
0|2021-11-08|22830.0|0|22830.0|0|514.0|0|0.0|100
0|2021-11-09|22845.0|0|22845.0|0|517.0|0|0.0|100
0|2021-11-10|22845.0|0|22854.0|0|517.0|0|0.0|100
0|2021-11-11|22854.0|0|22854.0|0|518.0|0|0.0|100
0|2021-11-12|22871.0|0|22871.0|0|518.0|0|0.0|100
0|2021-11-13|22871.0|0|22871.0|0|518.0|0|0.0|100
0|2021-11-14|22871.0|0|22871.0|0|518.0|0|0.0|100
0|2021-11-15|22909.0|0|22909.0|0|520.0|0|0.0|100
0|2021-11-16|22931.0|0|22931.0|0|520.0|0|0.0|100
0|2021-11-17|22934.0|0|22934.0|0|520.0|0|0.0|100
0|2021-11-18|22943.0|0|22943.0|0|520.0|0|0.0|100
0|2021-11-19|22952.0|0|22952.0|0|520.0|0|0.0|100
0|2021-11-20|22952.0|0|22952.0|0|520.0|0|0.0|100
0|2021-11-21|22952.0|0|22952.0|0|520.0|0|0.0|100
0|2021-11-22|22978.0|0|22978.0|0|520.0|0|0.0|100
0|2021-11-23|22989.0|0|22989.0|0|520.0|0|0.0|100
0|2021-11-24|22994.0|0|22994.0|0|522.0|0|0.0|100
0|2021-11-25|22994.0|0|22994.0|0|522.0|0|0.0|100
0|2021-11-26|22994.0|0|22994.0|0|522.0|0|0.0|100
0|2021-11-27|22994.0|0|22994.0|0|522.0|0|0.0|100
0|2021-11-28|22994.0|0|22994.0|0|522.0|0|0.0|100
0|2021-11-29|23019.0|0|23019.0|0|524.0|0|0.0|100
0|2021-11-30|23038.0|0|23038.0|0|524.0|0|0.0|100
0|2021-12-01|23061.0|0|23061.0|0|525.0|0|0.0|100
0|2021-12-02|23061.0|0|23070.0|0|525.0|0|0.0|100
0|2021-12-03|23085.0|0|23085.0|0|526.0|0|0.0|100
0|2021-12-04|23085.0|0|23085.0|0|526.0|0|0.0|100
0|2021-12-05|23085.0|0|23085.0|0|526.0|0|0.0|100
0|2021-12-06|23103.0|0|23103.0|0|526.0|0|0.0|100
0|2021-12-07|23118.0|0|23118.0|0|527.0|0|0.0|100
0|2021-12-08|23130.0|0|23130.0|0|529.0|0|0.0|100
0|2021-12-09|23135.0|0|23135.0|0|529.0|0|0.0|100
0|2021-12-10|23146.0|0|23146.0|0|530.0|0|0.0|100
0|2021-12-11|23146.0|0|23146.0|0|530.0|0|0.0|100
0|2021-12-12|23146.0|0|23146.0|0|530.0|0|0.0|100
0|2021-12-13|23170.0|0|23170.0|0|530.0|0|0.0|100
0|2021-12-14|23170.0|0|23178.0|0|530.0|0|0.0|100
0|2021-12-15|23196.0|0|23196.0|0|531.0|0|0.0|100
0|2021-12-16|23218.0|0|23218.0|0|531.0|0|0.0|100
0|2021-12-17|23231.0|0|23231.0|0|531.0|0|0.0|100
0|2021-12-18|23231.0|0|23231.0|0|531.0|0|0.0|100
0|2021-12-19|23231.0|0|23231.0|0|531.0|0|0.0|100
0|2021-12-20|23269.0|0|23269.0|0|532.0|0|0.0|100
0|2021-12-21|23310.0|0|23310.0|0|533.0|0|0.0|100
0|2021-12-22|23335.0|0|23335.0|0|533.0|0|0.0|100
0|2021-12-23|23382.0|0|23382.0|0|533.0|0|0.0|100
0|2021-12-24|23382.0|0|23382.0|0|533.0|0|0.0|100
0|2021-12-25|23382.0|0|23382.0|0|533.0|0|0.0|100
0|2021-12-26|23382.0|0|23382.0|0|533.0|0|0.0|100
0|2021-12-27|23528.0|0|23528.0|0|533.0|0|0.0|100
0|2021-12-28|23575.0|0|23575.0|0|533.0|0|0.0|100
0|2021-12-29|23844.0|0|23844.0|0|533.0|0|0.0|100
0|2021-12-30|24132.0|0|24132.0|0|533.0|0|0.0|100
0|2021-12-31|24132.0|0|24132.0|0|533.0|0|0.0|100
0|2022-01-01|24132.0|0|24132.0|0|533.0|0|0.0|100
0|2022-01-02|24132.0|0|24132.0|0|533.0|0|0.0|100
0|2022-01-03|24659.0|0|24659.0|0|534.0|0|0.0|100
0|2022-01-04|25217.0|0|25217.0|0|535.0|0|0.0|100
0|2022-01-05|25482.0|0|25482.0|0|535.0|0|0.0|100
0|2022-01-06|25707.0|0|25707.0|0|536.0|0|0.0|100
0|2022-01-07|25959.0|0|25959.0|0|536.0|0|0.0|100
0|2022-01-08|25959.0|0|25959.0|0|536.0|0|0.0|100
0|2022-01-09|25959.0|0|25959.0|0|536.0|0|0.0|100
0|2022-01-10|26523.0|0|26523.0|0|537.0|0|0.0|100
0|2022-01-11|26921.0|0|26921.0|0|537.0|0|0.0|100
0|2022-01-12|26921.0|0|26921.0|0|538.0|0|0.0|100
0|2022-01-13|26921.0|0|26921.0|0|538.0|0|0.0|100
0|2022-01-14|28122.0|0|28122.0|0|538.0|0|0.0|100
0|2022-01-15|28122.0|0|28122.0|0|538.0|0|0.0|100
0|2022-01-16|28122.0|0|28122.0|0|538.0|0|0.0|100
0|2022-01-17|28122.0|0|0.0|100|538.0|0|0.0|100
