|dates|Comal_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Comal_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Comal_Texas_UnitedStates.Male_Total_Population.data|Comal_Texas_UnitedStates.Male_Total_Population.missing|Comal_Texas_UnitedStates.Female_Total_Population.data|Comal_Texas_UnitedStates.Female_Total_Population.missing|Comal_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Comal_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-10-18|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-10-19|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-10-20|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-10-21|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-10-22|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-10-23|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-10-24|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-10-25|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-10-26|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-10-27|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-10-28|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-10-29|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-10-30|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-10-31|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-01|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-02|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-03|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-04|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-05|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-06|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-07|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-08|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-09|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-10|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-11|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-12|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-13|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-14|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-15|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-16|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-17|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-18|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-19|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-20|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-21|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-22|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-23|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-24|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-25|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-26|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-27|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-28|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-29|26829.0|0|73333.0|0|75040.0|0|33674.0|0
0|2021-11-30|26829.0|0|73333.0|0|75040.0|0|33674.0|0
