|dates|Columbia_Georgia_UnitedStates.JHU_ConfirmedCases.data|Columbia_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Columbia_Georgia_UnitedStates.NYT_ConfirmedCases.data|Columbia_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Columbia_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Columbia_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Columbia_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Columbia_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|24539.0|0|24574.0|0|278.0|0|0.0|100
0|2021-10-18|24595.0|0|24631.0|0|281.0|0|0.0|100
0|2021-10-19|24632.0|0|24668.0|0|284.0|0|0.0|100
0|2021-10-20|24664.0|0|24700.0|0|287.0|0|0.0|100
0|2021-10-21|24677.0|0|24713.0|0|288.0|0|0.0|100
0|2021-10-22|24702.0|0|24738.0|0|288.0|0|0.0|100
0|2021-10-23|24702.0|0|24738.0|0|288.0|0|0.0|100
0|2021-10-24|24702.0|0|24738.0|0|288.0|0|0.0|100
0|2021-10-25|24734.0|0|24771.0|0|290.0|0|0.0|100
0|2021-10-26|24772.0|0|24809.0|0|293.0|0|0.0|100
0|2021-10-27|24808.0|0|24845.0|0|293.0|0|0.0|100
0|2021-10-28|24831.0|0|24868.0|0|295.0|0|0.0|100
0|2021-10-29|24853.0|0|24890.0|0|295.0|0|0.0|100
0|2021-10-30|24853.0|0|24890.0|0|295.0|0|0.0|100
0|2021-10-31|24853.0|0|24890.0|0|295.0|0|0.0|100
0|2021-11-01|24884.0|0|24921.0|0|296.0|0|0.0|100
0|2021-11-02|24903.0|0|24940.0|0|296.0|0|0.0|100
0|2021-11-03|24918.0|0|24955.0|0|297.0|0|0.0|100
0|2021-11-04|24939.0|0|24976.0|0|300.0|0|0.0|100
0|2021-11-05|24949.0|0|24986.0|0|300.0|0|0.0|100
0|2021-11-06|24949.0|0|24986.0|0|300.0|0|0.0|100
0|2021-11-07|24949.0|0|24986.0|0|300.0|0|0.0|100
0|2021-11-08|24949.0|0|24985.0|0|300.0|0|0.0|100
0|2021-11-09|24988.0|0|25024.0|0|301.0|0|0.0|100
0|2021-11-10|25000.0|0|25036.0|0|305.0|0|0.0|100
0|2021-11-11|25000.0|0|25036.0|0|305.0|0|0.0|100
0|2021-11-12|25019.0|0|25055.0|0|306.0|0|0.0|100
0|2021-11-13|25019.0|0|25055.0|0|306.0|0|0.0|100
0|2021-11-14|25019.0|0|25055.0|0|306.0|0|0.0|100
0|2021-11-15|25043.0|0|25079.0|0|306.0|0|0.0|100
0|2021-11-16|25058.0|0|25094.0|0|306.0|0|0.0|100
0|2021-11-17|25077.0|0|25113.0|0|308.0|0|0.0|100
0|2021-11-18|25083.0|0|25119.0|0|311.0|0|0.0|100
0|2021-11-19|25106.0|0|25142.0|0|311.0|0|0.0|100
0|2021-11-20|25106.0|0|25142.0|0|311.0|0|0.0|100
