|dates|St.Croix_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|St.Croix_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|St.Croix_Wisconsin_UnitedStates.NYT_ConfirmedCases.data|St.Croix_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing|St.Croix_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|St.Croix_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|St.Croix_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|St.Croix_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12551.0|0|12551.0|0|84.0|0|0.0|100
0|2021-10-18|12613.0|0|12613.0|0|84.0|0|0.0|100
0|2021-10-19|12641.0|0|12641.0|0|85.0|0|0.0|100
0|2021-10-20|12674.0|0|12674.0|0|85.0|0|0.0|100
0|2021-10-21|12738.0|0|12738.0|0|85.0|0|0.0|100
0|2021-10-22|12788.0|0|12788.0|0|85.0|0|0.0|100
0|2021-10-23|12788.0|0|12788.0|0|85.0|0|0.0|100
0|2021-10-24|12788.0|0|12788.0|0|85.0|0|0.0|100
0|2021-10-25|12925.0|0|12925.0|0|85.0|0|0.0|100
0|2021-10-26|12974.0|0|12974.0|0|85.0|0|0.0|100
0|2021-10-27|13021.0|0|13021.0|0|85.0|0|0.0|100
0|2021-10-28|13100.0|0|13100.0|0|86.0|0|0.0|100
0|2021-10-29|13160.0|0|13160.0|0|86.0|0|0.0|100
0|2021-10-30|13160.0|0|13160.0|0|86.0|0|0.0|100
0|2021-10-31|13160.0|0|13160.0|0|86.0|0|0.0|100
0|2021-11-01|13372.0|0|13372.0|0|86.0|0|0.0|100
0|2021-11-02|13445.0|0|13445.0|0|86.0|0|0.0|100
0|2021-11-03|13495.0|0|13495.0|0|86.0|0|0.0|100
0|2021-11-04|13610.0|0|13610.0|0|86.0|0|0.0|100
0|2021-11-05|13705.0|0|13705.0|0|86.0|0|0.0|100
0|2021-11-06|13705.0|0|13705.0|0|86.0|0|0.0|100
0|2021-11-07|13705.0|0|13705.0|0|86.0|0|0.0|100
0|2021-11-08|13941.0|0|13941.0|0|86.0|0|0.0|100
0|2021-11-09|14040.0|0|14040.0|0|86.0|0|0.0|100
0|2021-11-10|14040.0|0|14137.0|0|86.0|0|0.0|100
0|2021-11-11|14274.0|0|14274.0|0|86.0|0|0.0|100
0|2021-11-12|14400.0|0|14400.0|0|86.0|0|0.0|100
0|2021-11-13|14400.0|0|14400.0|0|86.0|0|0.0|100
0|2021-11-14|14400.0|0|14400.0|0|86.0|0|0.0|100
0|2021-11-15|14659.0|0|14659.0|0|86.0|0|0.0|100
0|2021-11-16|14740.0|0|14740.0|0|87.0|0|0.0|100
0|2021-11-17|14859.0|0|14859.0|0|87.0|0|0.0|100
0|2021-11-18|14970.0|0|14970.0|0|87.0|0|0.0|100
0|2021-11-19|15082.0|0|15082.0|0|87.0|0|0.0|100
0|2021-11-20|15082.0|0|15082.0|0|87.0|0|0.0|100
0|2021-11-21|15082.0|0|15082.0|0|87.0|0|0.0|100
0|2021-11-22|15359.0|0|15359.0|0|88.0|0|0.0|100
0|2021-11-23|15446.0|0|15446.0|0|89.0|0|0.0|100
0|2021-11-24|15553.0|0|15553.0|0|90.0|0|0.0|100
0|2021-11-25|15640.0|0|15640.0|0|90.0|0|0.0|100
0|2021-11-26|15640.0|0|15640.0|0|90.0|0|0.0|100
0|2021-11-27|15640.0|0|15640.0|0|90.0|0|0.0|100
0|2021-11-28|15640.0|0|15640.0|0|90.0|0|0.0|100
0|2021-11-29|15926.0|0|15926.0|0|90.0|0|0.0|100
0|2021-11-30|15997.0|0|15997.0|0|91.0|0|0.0|100
0|2021-12-01|16104.0|0|16104.0|0|91.0|0|0.0|100
0|2021-12-02|16232.0|0|16232.0|0|94.0|0|0.0|100
0|2021-12-03|16333.0|0|16333.0|0|96.0|0|0.0|100
0|2021-12-04|16333.0|0|16333.0|0|96.0|0|0.0|100
0|2021-12-05|16333.0|0|16333.0|0|96.0|0|0.0|100
0|2021-12-06|16333.0|0|16333.0|0|96.0|0|0.0|100
0|2021-12-07|16333.0|0|16333.0|0|96.0|0|0.0|100
0|2021-12-08|16621.0|0|16621.0|0|100.0|0|0.0|100
0|2021-12-09|16735.0|0|16735.0|0|100.0|0|0.0|100
0|2021-12-10|16885.0|0|16885.0|0|100.0|0|0.0|100
0|2021-12-11|16885.0|0|16885.0|0|100.0|0|0.0|100
0|2021-12-12|16885.0|0|16885.0|0|100.0|0|0.0|100
