|dates|Jackson_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Jackson_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Jackson_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Jackson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2547.0|0|2547.0|0|49.0|0|0.0|100
0|2021-10-18|2559.0|0|2559.0|0|49.0|0|0.0|100
0|2021-10-19|2567.0|0|2567.0|0|49.0|0|0.0|100
0|2021-10-20|2581.0|0|2581.0|0|50.0|0|0.0|100
0|2021-10-21|2596.0|0|2596.0|0|50.0|0|0.0|100
0|2021-10-22|2602.0|0|2602.0|0|50.0|0|0.0|100
0|2021-10-23|2602.0|0|2602.0|0|50.0|0|0.0|100
0|2021-10-24|2602.0|0|2602.0|0|50.0|0|0.0|100
0|2021-10-25|2613.0|0|2613.0|0|50.0|0|0.0|100
0|2021-10-26|2625.0|0|2625.0|0|50.0|0|0.0|100
0|2021-10-27|2637.0|0|2637.0|0|50.0|0|0.0|100
0|2021-10-28|2645.0|0|2645.0|0|50.0|0|0.0|100
0|2021-10-29|2657.0|0|2657.0|0|50.0|0|0.0|100
0|2021-10-30|2657.0|0|2657.0|0|50.0|0|0.0|100
0|2021-10-31|2657.0|0|2657.0|0|50.0|0|0.0|100
0|2021-11-01|2671.0|0|2671.0|0|50.0|0|0.0|100
0|2021-11-02|2678.0|0|2678.0|0|50.0|0|0.0|100
0|2021-11-03|2684.0|0|2684.0|0|50.0|0|0.0|100
0|2021-11-04|2694.0|0|2694.0|0|50.0|0|0.0|100
0|2021-11-05|2701.0|0|2701.0|0|50.0|0|0.0|100
0|2021-11-06|2701.0|0|2701.0|0|50.0|0|0.0|100
0|2021-11-07|2701.0|0|2701.0|0|50.0|0|0.0|100
0|2021-11-08|2707.0|0|2707.0|0|50.0|0|0.0|100
0|2021-11-09|2710.0|0|2710.0|0|50.0|0|0.0|100
0|2021-11-10|2710.0|0|2718.0|0|50.0|0|0.0|100
0|2021-11-11|2718.0|0|2718.0|0|50.0|0|0.0|100
0|2021-11-12|2729.0|0|2729.0|0|51.0|0|0.0|100
0|2021-11-13|2729.0|0|2729.0|0|51.0|0|0.0|100
0|2021-11-14|2729.0|0|2729.0|0|51.0|0|0.0|100
0|2021-11-15|2746.0|0|2746.0|0|51.0|0|0.0|100
0|2021-11-16|2756.0|0|2756.0|0|51.0|0|0.0|100
0|2021-11-17|2771.0|0|2771.0|0|51.0|0|0.0|100
0|2021-11-18|2782.0|0|2782.0|0|51.0|0|0.0|100
0|2021-11-19|2788.0|0|2788.0|0|51.0|0|0.0|100
0|2021-11-20|2788.0|0|2788.0|0|51.0|0|0.0|100
0|2021-11-21|2788.0|0|2788.0|0|51.0|0|0.0|100
0|2021-11-22|2796.0|0|2796.0|0|51.0|0|0.0|100
0|2021-11-23|2801.0|0|2801.0|0|51.0|0|0.0|100
0|2021-11-24|2809.0|0|2809.0|0|51.0|0|0.0|100
0|2021-11-25|2809.0|0|2809.0|0|51.0|0|0.0|100
0|2021-11-26|2809.0|0|2809.0|0|51.0|0|0.0|100
0|2021-11-27|2809.0|0|2809.0|0|51.0|0|0.0|100
0|2021-11-28|2809.0|0|2809.0|0|51.0|0|0.0|100
0|2021-11-29|2826.0|0|2826.0|0|51.0|0|0.0|100
0|2021-11-30|2842.0|0|2842.0|0|51.0|0|0.0|100
0|2021-12-01|2853.0|0|2853.0|0|52.0|0|0.0|100
0|2021-12-02|2853.0|0|2868.0|0|52.0|0|0.0|100
0|2021-12-03|2880.0|0|2880.0|0|53.0|0|0.0|100
0|2021-12-04|2880.0|0|2880.0|0|53.0|0|0.0|100
0|2021-12-05|2880.0|0|2880.0|0|53.0|0|0.0|100
0|2021-12-06|2894.0|0|2894.0|0|53.0|0|0.0|100
0|2021-12-07|2902.0|0|2902.0|0|54.0|0|0.0|100
0|2021-12-08|2916.0|0|2916.0|0|54.0|0|0.0|100
0|2021-12-09|2924.0|0|2924.0|0|54.0|0|0.0|100
0|2021-12-10|2936.0|0|2936.0|0|55.0|0|0.0|100
0|2021-12-11|2936.0|0|2936.0|0|55.0|0|0.0|100
0|2021-12-12|2936.0|0|2936.0|0|55.0|0|0.0|100
0|2021-12-13|2951.0|0|2951.0|0|55.0|0|0.0|100
0|2021-12-14|2951.0|0|2969.0|0|55.0|0|0.0|100
0|2021-12-15|2979.0|0|2979.0|0|55.0|0|0.0|100
0|2021-12-16|2986.0|0|2986.0|0|55.0|0|0.0|100
0|2021-12-17|2994.0|0|2994.0|0|55.0|0|0.0|100
0|2021-12-18|2994.0|0|2994.0|0|55.0|0|0.0|100
0|2021-12-19|2994.0|0|2994.0|0|55.0|0|0.0|100
0|2021-12-20|3003.0|0|3003.0|0|58.0|0|0.0|100
0|2021-12-21|3015.0|0|3015.0|0|58.0|0|0.0|100
0|2021-12-22|3027.0|0|3027.0|0|58.0|0|0.0|100
0|2021-12-23|3027.0|0|3027.0|0|58.0|0|0.0|100
0|2021-12-24|3027.0|0|3027.0|0|58.0|0|0.0|100
0|2021-12-25|3027.0|0|3027.0|0|58.0|0|0.0|100
0|2021-12-26|3027.0|0|3027.0|0|58.0|0|0.0|100
0|2021-12-27|3051.0|0|3051.0|0|58.0|0|0.0|100
