|dates|Windham_Vermont_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Windham_Vermont_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Windham_Vermont_UnitedStates.Male_Total_Population.data|Windham_Vermont_UnitedStates.Male_Total_Population.missing|Windham_Vermont_UnitedStates.Female_Total_Population.data|Windham_Vermont_UnitedStates.Female_Total_Population.missing|Windham_Vermont_UnitedStates.MaleAndFemale_Under18_Population.data|Windham_Vermont_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-10-18|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-10-19|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-10-20|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-10-21|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-10-22|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-10-23|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-10-24|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-10-25|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-10-26|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-10-27|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-10-28|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-10-29|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-10-30|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-10-31|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-01|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-02|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-03|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-04|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-05|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-06|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-07|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-08|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-09|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-10|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-11|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-12|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-13|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-14|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-15|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-16|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-17|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-18|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-19|9757.0|0|20919.0|0|21837.0|0|7636.0|0
0|2021-11-20|9757.0|0|20919.0|0|21837.0|0|7636.0|0
