|dates|Poinsett_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Poinsett_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Poinsett_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Poinsett_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Poinsett_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Poinsett_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Poinsett_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Poinsett_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4871.0|0|4871.0|0|98.0|0|0.0|100
0|2021-10-18|4872.0|0|4872.0|0|98.0|0|0.0|100
0|2021-10-19|4876.0|0|4876.0|0|98.0|0|0.0|100
0|2021-10-20|4881.0|0|4881.0|0|98.0|0|0.0|100
0|2021-10-21|4886.0|0|4886.0|0|98.0|0|0.0|100
0|2021-10-22|4892.0|0|4892.0|0|98.0|0|0.0|100
0|2021-10-23|4896.0|0|4896.0|0|99.0|0|0.0|100
0|2021-10-24|4899.0|0|4899.0|0|99.0|0|0.0|100
0|2021-10-25|4901.0|0|4901.0|0|99.0|0|0.0|100
0|2021-10-26|4908.0|0|4908.0|0|99.0|0|0.0|100
0|2021-10-27|4912.0|0|4912.0|0|100.0|0|0.0|100
0|2021-10-28|4918.0|0|4918.0|0|100.0|0|0.0|100
0|2021-10-29|4923.0|0|4923.0|0|100.0|0|0.0|100
0|2021-10-30|4932.0|0|4932.0|0|100.0|0|0.0|100
0|2021-10-31|4932.0|0|4932.0|0|100.0|0|0.0|100
0|2021-11-01|4935.0|0|4935.0|0|100.0|0|0.0|100
0|2021-11-02|4941.0|0|4941.0|0|100.0|0|0.0|100
0|2021-11-03|4943.0|0|4943.0|0|100.0|0|0.0|100
0|2021-11-04|4948.0|0|4948.0|0|100.0|0|0.0|100
0|2021-11-05|4955.0|0|4955.0|0|100.0|0|0.0|100
0|2021-11-06|4965.0|0|4965.0|0|101.0|0|0.0|100
