|dates|Edgecombe_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Edgecombe_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Edgecombe_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Edgecombe_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Edgecombe_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Edgecombe_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Edgecombe_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Edgecombe_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7817.0|0|7817.0|0|124.0|0|0.0|100
0|2021-10-18|7847.0|0|7847.0|0|124.0|0|0.0|100
0|2021-10-19|7848.0|0|7848.0|0|124.0|0|0.0|100
0|2021-10-20|7854.0|0|7854.0|0|124.0|0|0.0|100
0|2021-10-21|7870.0|0|7870.0|0|124.0|0|0.0|100
0|2021-10-22|7883.0|0|7883.0|0|125.0|0|0.0|100
0|2021-10-23|7883.0|0|7883.0|0|125.0|0|0.0|100
0|2021-10-24|7883.0|0|7883.0|0|125.0|0|0.0|100
0|2021-10-25|7912.0|0|7912.0|0|125.0|0|0.0|100
0|2021-10-26|7913.0|0|7913.0|0|125.0|0|0.0|100
0|2021-10-27|7926.0|0|7926.0|0|125.0|0|0.0|100
0|2021-10-28|7939.0|0|7939.0|0|125.0|0|0.0|100
0|2021-10-29|7949.0|0|7949.0|0|125.0|0|0.0|100
0|2021-10-30|7949.0|0|7949.0|0|125.0|0|0.0|100
0|2021-10-31|7949.0|0|7949.0|0|125.0|0|0.0|100
0|2021-11-01|7971.0|0|7971.0|0|125.0|0|0.0|100
0|2021-11-02|7966.0|0|7966.0|0|125.0|0|0.0|100
0|2021-11-03|7970.0|0|7970.0|0|125.0|0|0.0|100
0|2021-11-04|7976.0|0|7976.0|0|126.0|0|0.0|100
0|2021-11-05|7983.0|0|7983.0|0|126.0|0|0.0|100
0|2021-11-06|7983.0|0|7983.0|0|126.0|0|0.0|100
0|2021-11-07|7983.0|0|7983.0|0|126.0|0|0.0|100
0|2021-11-08|8005.0|0|8005.0|0|126.0|0|0.0|100
0|2021-11-09|8006.0|0|8006.0|0|126.0|0|0.0|100
0|2021-11-10|8006.0|0|8011.0|0|126.0|0|0.0|100
0|2021-11-11|8011.0|0|8011.0|0|126.0|0|0.0|100
0|2021-11-12|8033.0|0|8033.0|0|126.0|0|0.0|100
0|2021-11-13|8033.0|0|8033.0|0|126.0|0|0.0|100
0|2021-11-14|8033.0|0|8033.0|0|126.0|0|0.0|100
0|2021-11-15|8048.0|0|8048.0|0|126.0|0|0.0|100
0|2021-11-16|8049.0|0|8049.0|0|126.0|0|0.0|100
0|2021-11-17|8054.0|0|8054.0|0|126.0|0|0.0|100
0|2021-11-18|8074.0|0|8074.0|0|126.0|0|0.0|100
0|2021-11-19|8084.0|0|8084.0|0|126.0|0|0.0|100
0|2021-11-20|8084.0|0|8084.0|0|126.0|0|0.0|100
0|2021-11-21|8084.0|0|8084.0|0|126.0|0|0.0|100
0|2021-11-22|8109.0|0|8109.0|0|127.0|0|0.0|100
