|dates|Montgomery_Georgia_UnitedStates.JHU_ConfirmedCases.data|Montgomery_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Montgomery_Georgia_UnitedStates.NYT_ConfirmedCases.data|Montgomery_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Montgomery_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Montgomery_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Montgomery_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Montgomery_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1501.0|0|1520.0|0|39.0|0|0.0|100
0|2021-10-18|1506.0|0|1524.0|0|39.0|0|0.0|100
0|2021-10-19|1510.0|0|1528.0|0|39.0|0|0.0|100
0|2021-10-20|1510.0|0|1528.0|0|39.0|0|0.0|100
0|2021-10-21|1515.0|0|1533.0|0|39.0|0|0.0|100
0|2021-10-22|1515.0|0|1533.0|0|39.0|0|0.0|100
0|2021-10-23|1515.0|0|1533.0|0|39.0|0|0.0|100
0|2021-10-24|1515.0|0|1533.0|0|39.0|0|0.0|100
0|2021-10-25|1515.0|0|1533.0|0|39.0|0|0.0|100
0|2021-10-26|1516.0|0|1534.0|0|40.0|0|0.0|100
0|2021-10-27|1516.0|0|1534.0|0|40.0|0|0.0|100
0|2021-10-28|1517.0|0|1535.0|0|40.0|0|0.0|100
0|2021-10-29|1517.0|0|1535.0|0|40.0|0|0.0|100
0|2021-10-30|1517.0|0|1535.0|0|40.0|0|0.0|100
0|2021-10-31|1517.0|0|1535.0|0|40.0|0|0.0|100
0|2021-11-01|1518.0|0|1536.0|0|40.0|0|0.0|100
0|2021-11-02|1518.0|0|1536.0|0|40.0|0|0.0|100
0|2021-11-03|1518.0|0|1536.0|0|41.0|0|0.0|100
0|2021-11-04|1519.0|0|1537.0|0|41.0|0|0.0|100
0|2021-11-05|1519.0|0|1537.0|0|42.0|0|0.0|100
0|2021-11-06|1519.0|0|1537.0|0|42.0|0|0.0|100
0|2021-11-07|1519.0|0|1537.0|0|42.0|0|0.0|100
0|2021-11-08|1519.0|0|1539.0|0|42.0|0|0.0|100
0|2021-11-09|1520.0|0|1540.0|0|41.0|0|0.0|100
0|2021-11-10|1520.0|0|1541.0|0|41.0|0|0.0|100
0|2021-11-11|1521.0|0|1541.0|0|41.0|0|0.0|100
0|2021-11-12|1522.0|0|1542.0|0|42.0|0|0.0|100
0|2021-11-13|1522.0|0|1542.0|0|42.0|0|0.0|100
0|2021-11-14|1522.0|0|1542.0|0|42.0|0|0.0|100
0|2021-11-15|1522.0|0|1541.0|0|42.0|0|0.0|100
0|2021-11-16|1522.0|0|1541.0|0|42.0|0|0.0|100
0|2021-11-17|1522.0|0|1541.0|0|43.0|0|0.0|100
0|2021-11-18|1522.0|0|1541.0|0|43.0|0|0.0|100
0|2021-11-19|1523.0|0|1542.0|0|43.0|0|0.0|100
0|2021-11-20|1523.0|0|1542.0|0|43.0|0|0.0|100
0|2021-11-21|1523.0|0|1542.0|0|43.0|0|0.0|100
0|2021-11-22|1524.0|0|1542.0|0|43.0|0|0.0|100
0|2021-11-23|1524.0|0|1542.0|0|43.0|0|0.0|100
0|2021-11-24|1524.0|0|1542.0|0|43.0|0|0.0|100
0|2021-11-25|1524.0|0|1542.0|0|43.0|0|0.0|100
0|2021-11-26|1524.0|0|1542.0|0|43.0|0|0.0|100
0|2021-11-27|1524.0|0|1542.0|0|43.0|0|0.0|100
0|2021-11-28|1524.0|0|1542.0|0|43.0|0|0.0|100
0|2021-11-29|1526.0|0|1544.0|0|43.0|0|0.0|100
0|2021-11-30|1527.0|0|1545.0|0|44.0|0|0.0|100
0|2021-12-01|1528.0|0|1546.0|0|44.0|0|0.0|100
0|2021-12-02|1528.0|0|1547.0|0|44.0|0|0.0|100
0|2021-12-03|1529.0|0|1547.0|0|44.0|0|0.0|100
0|2021-12-04|1529.0|0|1547.0|0|44.0|0|0.0|100
0|2021-12-05|1529.0|0|1547.0|0|44.0|0|0.0|100
0|2021-12-06|1530.0|0|1548.0|0|44.0|0|0.0|100
0|2021-12-07|1530.0|0|1548.0|0|44.0|0|0.0|100
0|2021-12-08|1530.0|0|1548.0|0|44.0|0|0.0|100
0|2021-12-09|1531.0|0|1549.0|0|44.0|0|0.0|100
