|dates|Marion_Missouri_UnitedStates.JHU_ConfirmedCases.data|Marion_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Marion_Missouri_UnitedStates.NYT_ConfirmedCases.data|Marion_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Marion_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Marion_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5124.0|0|5124.0|0|63.0|0|0.0|100
0|2021-10-18|5124.0|0|5124.0|0|63.0|0|0.0|100
0|2021-10-19|5129.0|0|5129.0|0|63.0|0|0.0|100
0|2021-10-20|5135.0|0|5135.0|0|63.0|0|0.0|100
0|2021-10-21|5139.0|0|5139.0|0|63.0|0|0.0|100
0|2021-10-22|5146.0|0|5146.0|0|63.0|0|0.0|100
0|2021-10-23|5149.0|0|5149.0|0|63.0|0|0.0|100
0|2021-10-24|5151.0|0|5151.0|0|63.0|0|0.0|100
0|2021-10-25|5151.0|0|5151.0|0|63.0|0|0.0|100
0|2021-10-26|5162.0|0|5162.0|0|63.0|0|0.0|100
0|2021-10-27|5168.0|0|5168.0|0|63.0|0|0.0|100
0|2021-10-28|5177.0|0|5177.0|0|63.0|0|0.0|100
0|2021-10-29|5189.0|0|5189.0|0|63.0|0|0.0|100
0|2021-10-30|5195.0|0|5195.0|0|63.0|0|0.0|100
0|2021-10-31|5196.0|0|5196.0|0|63.0|0|0.0|100
0|2021-11-01|5194.0|0|5194.0|0|63.0|0|0.0|100
0|2021-11-02|5212.0|0|5212.0|0|63.0|0|0.0|100
0|2021-11-03|5224.0|0|5224.0|0|63.0|0|0.0|100
0|2021-11-04|5231.0|0|5231.0|0|63.0|0|0.0|100
0|2021-11-05|5238.0|0|5238.0|0|63.0|0|0.0|100
0|2021-11-06|5250.0|0|5250.0|0|63.0|0|0.0|100
0|2021-11-07|5250.0|0|5250.0|0|63.0|0|0.0|100
0|2021-11-08|5250.0|0|5250.0|0|63.0|0|0.0|100
0|2021-11-09|5269.0|0|5269.0|0|64.0|0|0.0|100
0|2021-11-10|5269.0|0|5282.0|0|64.0|0|0.0|100
0|2021-11-11|5282.0|0|5282.0|0|64.0|0|0.0|100
0|2021-11-12|5297.0|0|5297.0|0|64.0|0|0.0|100
0|2021-11-13|5301.0|0|5301.0|0|64.0|0|0.0|100
0|2021-11-14|5303.0|0|5303.0|0|64.0|0|0.0|100
