|dates|Billings_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Billings_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Billings_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|Billings_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|Billings_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Billings_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Billings_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Billings_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|90.0|0|90.0|0|0.0|0|0.0|100
0|2021-10-18|90.0|0|90.0|0|0.0|0|0.0|100
0|2021-10-19|91.0|0|91.0|0|0.0|0|0.0|100
0|2021-10-20|91.0|0|91.0|0|0.0|0|0.0|100
0|2021-10-21|91.0|0|91.0|0|0.0|0|0.0|100
0|2021-10-22|91.0|0|91.0|0|0.0|0|0.0|100
0|2021-10-23|92.0|0|92.0|0|0.0|0|0.0|100
0|2021-10-24|92.0|0|92.0|0|0.0|0|0.0|100
0|2021-10-25|92.0|0|92.0|0|0.0|0|0.0|100
0|2021-10-26|93.0|0|93.0|0|0.0|0|0.0|100
0|2021-10-27|94.0|0|94.0|0|0.0|0|0.0|100
0|2021-10-28|94.0|0|94.0|0|0.0|0|0.0|100
0|2021-10-29|95.0|0|95.0|0|0.0|0|0.0|100
0|2021-10-30|95.0|0|95.0|0|0.0|0|0.0|100
0|2021-10-31|95.0|0|95.0|0|0.0|0|0.0|100
0|2021-11-01|95.0|0|95.0|0|0.0|0|0.0|100
0|2021-11-02|95.0|0|95.0|0|0.0|0|0.0|100
0|2021-11-03|99.0|0|99.0|0|0.0|0|0.0|100
0|2021-11-04|99.0|0|99.0|0|0.0|0|0.0|100
0|2021-11-05|101.0|0|101.0|0|0.0|0|0.0|100
0|2021-11-06|101.0|0|101.0|0|0.0|0|0.0|100
0|2021-11-07|102.0|0|102.0|0|0.0|0|0.0|100
0|2021-11-08|102.0|0|102.0|0|0.0|0|0.0|100
0|2021-11-09|102.0|0|102.0|0|0.0|0|0.0|100
0|2021-11-10|102.0|0|102.0|0|0.0|0|0.0|100
0|2021-11-11|102.0|0|102.0|0|0.0|0|0.0|100
0|2021-11-12|102.0|0|102.0|0|0.0|0|0.0|100
0|2021-11-13|102.0|0|102.0|0|1.0|0|0.0|100
0|2021-11-14|102.0|0|102.0|0|1.0|0|0.0|100
0|2021-11-15|102.0|0|102.0|0|1.0|0|0.0|100
0|2021-11-16|102.0|0|102.0|0|1.0|0|0.0|100
0|2021-11-17|103.0|0|103.0|0|1.0|0|0.0|100
0|2021-11-18|103.0|0|103.0|0|1.0|0|0.0|100
0|2021-11-19|105.0|0|105.0|0|1.0|0|0.0|100
0|2021-11-20|105.0|0|105.0|0|1.0|0|0.0|100
0|2021-11-21|105.0|0|105.0|0|1.0|0|0.0|100
