|dates|Bristol_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Bristol_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Bristol_Massachusetts_UnitedStates.NYT_ConfirmedCases.data|Bristol_Massachusetts_UnitedStates.NYT_ConfirmedCases.missing|Bristol_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Bristol_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Bristol_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Bristol_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|79570.0|0|79570.0|0|1853.0|0|0.0|100
0|2021-10-18|79857.0|0|79857.0|0|1854.0|0|0.0|100
0|2021-10-19|80082.0|0|80082.0|0|1859.0|0|0.0|100
0|2021-10-20|80253.0|0|80253.0|0|1861.0|0|0.0|100
0|2021-10-21|80371.0|0|80371.0|0|1864.0|0|0.0|100
0|2021-10-22|80490.0|0|80490.0|0|1866.0|0|0.0|100
0|2021-10-23|80490.0|0|80490.0|0|1866.0|0|0.0|100
0|2021-10-24|80490.0|0|80490.0|0|1866.0|0|0.0|100
0|2021-10-25|80782.0|0|80782.0|0|1868.0|0|0.0|100
0|2021-10-26|80916.0|0|80916.0|0|1869.0|0|0.0|100
0|2021-10-27|81075.0|0|81075.0|0|1871.0|0|0.0|100
0|2021-10-28|81075.0|0|81192.0|0|1875.0|0|0.0|100
0|2021-10-29|81253.0|0|81253.0|0|1875.0|0|0.0|100
0|2021-10-30|81253.0|0|81253.0|0|1875.0|0|0.0|100
0|2021-10-31|81253.0|0|81253.0|0|1875.0|0|0.0|100
0|2021-11-01|81575.0|0|81575.0|0|1876.0|0|0.0|100
0|2021-11-02|81665.0|0|81665.0|0|1880.0|0|0.0|100
0|2021-11-03|81827.0|0|81827.0|0|1884.0|0|0.0|100
0|2021-11-04|81952.0|0|81952.0|0|1888.0|0|0.0|100
0|2021-11-05|82108.0|0|82108.0|0|1891.0|0|0.0|100
0|2021-11-06|82108.0|0|82108.0|0|1891.0|0|0.0|100
0|2021-11-07|82108.0|0|82108.0|0|1891.0|0|0.0|100
0|2021-11-08|82504.0|0|82504.0|0|1891.0|0|0.0|100
0|2021-11-09|82672.0|0|82672.0|0|1892.0|0|0.0|100
0|2021-11-10|82672.0|0|82851.0|0|1892.0|0|0.0|100
0|2021-11-11|82851.0|0|82851.0|0|1895.0|0|0.0|100
0|2021-11-12|83138.0|0|83138.0|0|1899.0|0|0.0|100
0|2021-11-13|83138.0|0|83138.0|0|1899.0|0|0.0|100
0|2021-11-14|83138.0|0|83138.0|0|1899.0|0|0.0|100
0|2021-11-15|83669.0|0|83669.0|0|1905.0|0|0.0|100
0|2021-11-16|83897.0|0|83897.0|0|1907.0|0|0.0|100
0|2021-11-17|84117.0|0|84117.0|0|1907.0|0|0.0|100
0|2021-11-18|84489.0|0|84489.0|0|1909.0|0|0.0|100
0|2021-11-19|84779.0|0|84779.0|0|1911.0|0|0.0|100
0|2021-11-20|84779.0|0|84779.0|0|1911.0|0|0.0|100
0|2021-11-21|84779.0|0|84779.0|0|1911.0|0|0.0|100
0|2021-11-22|85460.0|0|85460.0|0|1913.0|0|0.0|100
0|2021-11-23|85812.0|0|85812.0|0|1917.0|0|0.0|100
0|2021-11-24|86121.0|0|86121.0|0|1919.0|0|0.0|100
0|2021-11-25|86121.0|0|86121.0|0|1919.0|0|0.0|100
0|2021-11-26|86659.0|0|86659.0|0|1925.0|0|0.0|100
0|2021-11-27|86659.0|0|86659.0|0|1925.0|0|0.0|100
0|2021-11-28|86659.0|0|86659.0|0|1925.0|0|0.0|100
0|2021-11-29|87300.0|0|87300.0|0|1928.0|0|0.0|100
0|2021-11-30|87542.0|0|87542.0|0|1934.0|0|0.0|100
0|2021-12-01|88151.0|0|88151.0|0|1937.0|0|0.0|100
0|2021-12-02|88151.0|0|88770.0|0|1937.0|0|0.0|100
0|2021-12-03|89254.0|0|89254.0|0|1947.0|0|0.0|100
0|2021-12-04|89254.0|0|89254.0|0|1947.0|0|0.0|100
0|2021-12-05|89254.0|0|89254.0|0|1947.0|0|0.0|100
0|2021-12-06|90532.0|0|90532.0|0|1951.0|0|0.0|100
0|2021-12-07|90975.0|0|90975.0|0|1962.0|0|0.0|100
0|2021-12-08|91653.0|0|91653.0|0|1963.0|0|0.0|100
0|2021-12-09|92323.0|0|92323.0|0|1968.0|0|0.0|100
0|2021-12-10|92887.0|0|92887.0|0|1970.0|0|0.0|100
0|2021-12-11|92887.0|0|92887.0|0|1970.0|0|0.0|100
0|2021-12-12|92887.0|0|92887.0|0|1970.0|0|0.0|100
0|2021-12-13|94146.0|0|94146.0|0|1975.0|0|0.0|100
0|2021-12-14|94146.0|0|94582.0|0|1975.0|0|0.0|100
