|dates|Cooper_Missouri_UnitedStates.JHU_ConfirmedCases.data|Cooper_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Cooper_Missouri_UnitedStates.NYT_ConfirmedCases.data|Cooper_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Cooper_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Cooper_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Cooper_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Cooper_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2717.0|0|2717.0|0|33.0|0|0.0|100
0|2021-10-18|2718.0|0|2718.0|0|33.0|0|0.0|100
0|2021-10-19|2721.0|0|2721.0|0|33.0|0|0.0|100
0|2021-10-20|2731.0|0|2731.0|0|33.0|0|0.0|100
0|2021-10-21|2733.0|0|2733.0|0|33.0|0|0.0|100
0|2021-10-22|2737.0|0|2737.0|0|33.0|0|0.0|100
0|2021-10-23|2741.0|0|2741.0|0|33.0|0|0.0|100
0|2021-10-24|2741.0|0|2741.0|0|33.0|0|0.0|100
0|2021-10-25|2743.0|0|2743.0|0|33.0|0|0.0|100
0|2021-10-26|2745.0|0|2745.0|0|33.0|0|0.0|100
0|2021-10-27|2754.0|0|2754.0|0|33.0|0|0.0|100
0|2021-10-28|2756.0|0|2756.0|0|33.0|0|0.0|100
0|2021-10-29|2759.0|0|2759.0|0|33.0|0|0.0|100
0|2021-10-30|2764.0|0|2764.0|0|33.0|0|0.0|100
0|2021-10-31|2765.0|0|2765.0|0|33.0|0|0.0|100
0|2021-11-01|2768.0|0|2768.0|0|33.0|0|0.0|100
0|2021-11-02|2770.0|0|2770.0|0|34.0|0|0.0|100
0|2021-11-03|2777.0|0|2777.0|0|34.0|0|0.0|100
0|2021-11-04|2780.0|0|2780.0|0|34.0|0|0.0|100
0|2021-11-05|2782.0|0|2782.0|0|34.0|0|0.0|100
0|2021-11-06|2795.0|0|2795.0|0|34.0|0|0.0|100
0|2021-11-07|2796.0|0|2796.0|0|34.0|0|0.0|100
0|2021-11-08|2797.0|0|2797.0|0|34.0|0|0.0|100
0|2021-11-09|2802.0|0|2802.0|0|34.0|0|0.0|100
0|2021-11-10|2810.0|0|2810.0|0|34.0|0|0.0|100
0|2021-11-11|2810.0|0|2810.0|0|34.0|0|0.0|100
0|2021-11-12|2814.0|0|2814.0|0|34.0|0|0.0|100
0|2021-11-13|2823.0|0|2823.0|0|34.0|0|0.0|100
0|2021-11-14|2828.0|0|2828.0|0|34.0|0|0.0|100
0|2021-11-15|2828.0|0|2828.0|0|34.0|0|0.0|100
0|2021-11-16|2836.0|0|2836.0|0|34.0|0|0.0|100
0|2021-11-17|2841.0|0|2841.0|0|34.0|0|0.0|100
0|2021-11-18|2879.0|0|2879.0|0|34.0|0|0.0|100
0|2021-11-19|2880.0|0|2880.0|0|34.0|0|0.0|100
0|2021-11-20|2885.0|0|2885.0|0|34.0|0|0.0|100
0|2021-11-21|2885.0|0|2885.0|0|34.0|0|0.0|100
0|2021-11-22|2886.0|0|2886.0|0|34.0|0|0.0|100
0|2021-11-23|2890.0|0|2890.0|0|35.0|0|0.0|100
0|2021-11-24|2898.0|0|2898.0|0|35.0|0|0.0|100
0|2021-11-25|2898.0|0|2898.0|0|35.0|0|0.0|100
0|2021-11-26|2898.0|0|2898.0|0|35.0|0|0.0|100
0|2021-11-27|2898.0|0|2898.0|0|35.0|0|0.0|100
0|2021-11-28|2898.0|0|2898.0|0|35.0|0|0.0|100
0|2021-11-29|2941.0|0|2941.0|0|35.0|0|0.0|100
0|2021-11-30|2953.0|0|2953.0|0|35.0|0|0.0|100
0|2021-12-01|2968.0|0|2968.0|0|35.0|0|0.0|100
0|2021-12-02|2982.0|0|2982.0|0|53.0|0|0.0|100
0|2021-12-03|2982.0|0|2982.0|0|53.0|0|0.0|100
0|2021-12-04|3014.0|0|3014.0|0|53.0|0|0.0|100
