|dates|Bell_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Bell_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Bell_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Bell_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Bell_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Bell_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Bell_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Bell_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5736.0|0|5736.0|0|90.0|0|0.0|100
0|2021-10-18|5752.0|0|5752.0|0|91.0|0|0.0|100
0|2021-10-19|5760.0|0|5760.0|0|91.0|0|0.0|100
0|2021-10-20|5765.0|0|5765.0|0|92.0|0|0.0|100
0|2021-10-21|5767.0|0|5767.0|0|93.0|0|0.0|100
0|2021-10-22|5770.0|0|5770.0|0|93.0|0|0.0|100
0|2021-10-23|5770.0|0|5770.0|0|93.0|0|0.0|100
0|2021-10-24|5770.0|0|5770.0|0|93.0|0|0.0|100
0|2021-10-25|5791.0|0|5791.0|0|94.0|0|0.0|100
0|2021-10-26|5799.0|0|5799.0|0|94.0|0|0.0|100
0|2021-10-27|5807.0|0|5807.0|0|94.0|0|0.0|100
0|2021-10-28|5813.0|0|5813.0|0|94.0|0|0.0|100
0|2021-10-29|5820.0|0|5820.0|0|94.0|0|0.0|100
0|2021-10-30|5820.0|0|5820.0|0|94.0|0|0.0|100
0|2021-10-31|5820.0|0|5820.0|0|94.0|0|0.0|100
0|2021-11-01|5827.0|0|5827.0|0|94.0|0|0.0|100
0|2021-11-02|5832.0|0|5832.0|0|94.0|0|0.0|100
0|2021-11-03|5841.0|0|5841.0|0|96.0|0|0.0|100
0|2021-11-04|5848.0|0|5848.0|0|96.0|0|0.0|100
0|2021-11-05|5854.0|0|5854.0|0|96.0|0|0.0|100
0|2021-11-06|5854.0|0|5854.0|0|96.0|0|0.0|100
0|2021-11-07|5854.0|0|5854.0|0|96.0|0|0.0|100
0|2021-11-08|5862.0|0|5862.0|0|97.0|0|0.0|100
0|2021-11-09|5874.0|0|5874.0|0|97.0|0|0.0|100
0|2021-11-10|5874.0|0|5882.0|0|97.0|0|0.0|100
0|2021-11-11|5882.0|0|5882.0|0|97.0|0|0.0|100
0|2021-11-12|5889.0|0|5889.0|0|97.0|0|0.0|100
0|2021-11-13|5889.0|0|5889.0|0|97.0|0|0.0|100
0|2021-11-14|5889.0|0|5889.0|0|97.0|0|0.0|100
0|2021-11-15|5900.0|0|5900.0|0|97.0|0|0.0|100
0|2021-11-16|5904.0|0|5904.0|0|98.0|0|0.0|100
0|2021-11-17|5909.0|0|5909.0|0|99.0|0|0.0|100
0|2021-11-18|5911.0|0|5911.0|0|99.0|0|0.0|100
0|2021-11-19|5910.0|0|5910.0|0|102.0|0|0.0|100
0|2021-11-20|5910.0|0|5910.0|0|102.0|0|0.0|100
