|dates|Shiawassee_Michigan_UnitedStates.JHU_ConfirmedCases.data|Shiawassee_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Shiawassee_Michigan_UnitedStates.NYT_ConfirmedCases.data|Shiawassee_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Shiawassee_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Shiawassee_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Shiawassee_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Shiawassee_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8333.0|0|8333.0|0|125.0|0|0.0|100
0|2021-10-18|8409.0|0|8409.0|0|125.0|0|0.0|100
0|2021-10-19|8409.0|0|8409.0|0|125.0|0|0.0|100
0|2021-10-20|8467.0|0|8467.0|0|126.0|0|0.0|100
0|2021-10-21|8467.0|0|8467.0|0|126.0|0|0.0|100
0|2021-10-22|8564.0|0|8564.0|0|129.0|0|0.0|100
0|2021-10-23|8564.0|0|8564.0|0|129.0|0|0.0|100
0|2021-10-24|8564.0|0|8564.0|0|129.0|0|0.0|100
0|2021-10-25|8638.0|0|8638.0|0|129.0|0|0.0|100
0|2021-10-26|8638.0|0|8638.0|0|129.0|0|0.0|100
0|2021-10-27|8727.0|0|8727.0|0|130.0|0|0.0|100
0|2021-10-28|8727.0|0|8727.0|0|130.0|0|0.0|100
0|2021-10-29|8802.0|0|8802.0|0|130.0|0|0.0|100
0|2021-10-30|8802.0|0|8802.0|0|130.0|0|0.0|100
0|2021-10-31|8802.0|0|8802.0|0|130.0|0|0.0|100
0|2021-11-01|8896.0|0|8896.0|0|132.0|0|0.0|100
0|2021-11-02|8896.0|0|8896.0|0|132.0|0|0.0|100
0|2021-11-03|9033.0|0|9033.0|0|132.0|0|0.0|100
0|2021-11-04|9033.0|0|9033.0|0|132.0|0|0.0|100
0|2021-11-05|9145.0|0|9145.0|0|132.0|0|0.0|100
0|2021-11-06|9145.0|0|9145.0|0|132.0|0|0.0|100
0|2021-11-07|9145.0|0|9145.0|0|132.0|0|0.0|100
0|2021-11-08|9256.0|0|9256.0|0|133.0|0|0.0|100
0|2021-11-09|9256.0|0|9256.0|0|133.0|0|0.0|100
0|2021-11-10|9256.0|0|9394.0|0|133.0|0|0.0|100
0|2021-11-11|9394.0|0|9394.0|0|134.0|0|0.0|100
0|2021-11-12|9569.0|0|9569.0|0|136.0|0|0.0|100
0|2021-11-13|9569.0|0|9569.0|0|136.0|0|0.0|100
0|2021-11-14|9569.0|0|9569.0|0|136.0|0|0.0|100
0|2021-11-15|9828.0|0|9828.0|0|137.0|0|0.0|100
0|2021-11-16|9828.0|0|9828.0|0|137.0|0|0.0|100
0|2021-11-17|10055.0|0|10055.0|0|139.0|0|0.0|100
0|2021-11-18|10055.0|0|10055.0|0|139.0|0|0.0|100
0|2021-11-19|10280.0|0|10280.0|0|142.0|0|0.0|100
0|2021-11-20|10280.0|0|10280.0|0|142.0|0|0.0|100
0|2021-11-21|10280.0|0|10280.0|0|142.0|0|0.0|100
0|2021-11-22|10475.0|0|10475.0|0|145.0|0|0.0|100
0|2021-11-23|10475.0|0|10475.0|0|145.0|0|0.0|100
0|2021-11-24|10701.0|0|10701.0|0|148.0|0|0.0|100
0|2021-11-25|10701.0|0|10701.0|0|148.0|0|0.0|100
0|2021-11-26|10701.0|0|10701.0|0|148.0|0|0.0|100
0|2021-11-27|10701.0|0|10701.0|0|148.0|0|0.0|100
0|2021-11-28|10701.0|0|10701.0|0|148.0|0|0.0|100
0|2021-11-29|11008.0|0|11008.0|0|148.0|0|0.0|100
0|2021-11-30|11008.0|0|11008.0|0|148.0|0|0.0|100
0|2021-12-01|11256.0|0|11256.0|0|153.0|0|0.0|100
0|2021-12-02|11256.0|0|11256.0|0|153.0|0|0.0|100
0|2021-12-03|11435.0|0|11435.0|0|154.0|0|0.0|100
0|2021-12-04|11435.0|0|11435.0|0|154.0|0|0.0|100
0|2021-12-05|11435.0|0|11435.0|0|154.0|0|0.0|100
0|2021-12-06|11599.0|0|11599.0|0|155.0|0|0.0|100
0|2021-12-07|11599.0|0|11599.0|0|155.0|0|0.0|100
0|2021-12-08|11804.0|0|11804.0|0|157.0|0|0.0|100
0|2021-12-09|11804.0|0|11804.0|0|157.0|0|0.0|100
0|2021-12-10|11901.0|0|11901.0|0|157.0|0|0.0|100
