|dates|Hays_Texas_UnitedStates.JHU_ConfirmedCases.data|Hays_Texas_UnitedStates.JHU_ConfirmedCases.missing|Hays_Texas_UnitedStates.NYT_ConfirmedCases.data|Hays_Texas_UnitedStates.NYT_ConfirmedCases.missing|Hays_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Hays_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Hays_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Hays_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|32456.0|0|32456.0|0|385.0|0|0.0|100
0|2021-10-18|32559.0|0|32559.0|0|386.0|0|0.0|100
0|2021-10-19|32594.0|0|32594.0|0|386.0|0|0.0|100
0|2021-10-20|32638.0|0|32638.0|0|387.0|0|0.0|100
0|2021-10-21|32677.0|0|32677.0|0|388.0|0|0.0|100
0|2021-10-22|32709.0|0|32709.0|0|389.0|0|0.0|100
0|2021-10-23|32709.0|0|32709.0|0|389.0|0|0.0|100
0|2021-10-24|32709.0|0|32709.0|0|389.0|0|0.0|100
0|2021-10-25|32819.0|0|32819.0|0|393.0|0|0.0|100
0|2021-10-26|32847.0|0|32847.0|0|396.0|0|0.0|100
0|2021-10-27|32892.0|0|32892.0|0|396.0|0|0.0|100
0|2021-10-28|32939.0|0|32939.0|0|398.0|0|0.0|100
0|2021-10-29|32990.0|0|32990.0|0|399.0|0|0.0|100
0|2021-10-30|32990.0|0|32990.0|0|399.0|0|0.0|100
0|2021-10-31|32990.0|0|32990.0|0|399.0|0|0.0|100
0|2021-11-01|33033.0|0|33033.0|0|399.0|0|0.0|100
0|2021-11-02|33069.0|0|33069.0|0|400.0|0|0.0|100
0|2021-11-03|33109.0|0|33109.0|0|400.0|0|0.0|100
0|2021-11-04|33143.0|0|33143.0|0|400.0|0|0.0|100
0|2021-11-05|33147.0|0|33147.0|0|400.0|0|0.0|100
0|2021-11-06|33147.0|0|33147.0|0|400.0|0|0.0|100
0|2021-11-07|33147.0|0|33147.0|0|400.0|0|0.0|100
0|2021-11-08|33233.0|0|33233.0|0|401.0|0|0.0|100
0|2021-11-09|33260.0|0|33260.0|0|401.0|0|0.0|100
0|2021-11-10|33260.0|0|33342.0|0|401.0|0|0.0|100
0|2021-11-11|33342.0|0|33342.0|0|401.0|0|0.0|100
0|2021-11-12|33406.0|0|33406.0|0|402.0|0|0.0|100
0|2021-11-13|33406.0|0|33406.0|0|402.0|0|0.0|100
0|2021-11-14|33406.0|0|33406.0|0|402.0|0|0.0|100
0|2021-11-15|33472.0|0|33472.0|0|403.0|0|0.0|100
0|2021-11-16|33495.0|0|33495.0|0|403.0|0|0.0|100
0|2021-11-17|33559.0|0|33559.0|0|403.0|0|0.0|100
0|2021-11-18|33559.0|0|33559.0|0|403.0|0|0.0|100
0|2021-11-19|33559.0|0|33559.0|0|403.0|0|0.0|100
0|2021-11-20|33559.0|0|33559.0|0|403.0|0|0.0|100
0|2021-11-21|33559.0|0|33559.0|0|403.0|0|0.0|100
