|dates|Rockbridge_Virginia_UnitedStates.JHU_ConfirmedCases.data|Rockbridge_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Rockbridge_Virginia_UnitedStates.NYT_ConfirmedCases.data|Rockbridge_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Rockbridge_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Rockbridge_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Rockbridge_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Rockbridge_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2042.0|0|2042.0|0|57.0|0|0.0|100
0|2021-10-18|2063.0|0|2063.0|0|57.0|0|0.0|100
0|2021-10-19|2067.0|0|2067.0|0|57.0|0|0.0|100
0|2021-10-20|2073.0|0|2073.0|0|57.0|0|0.0|100
0|2021-10-21|2080.0|0|2080.0|0|57.0|0|0.0|100
0|2021-10-22|2086.0|0|2086.0|0|57.0|0|0.0|100
0|2021-10-23|2086.0|0|2086.0|0|57.0|0|0.0|100
0|2021-10-24|2086.0|0|2086.0|0|57.0|0|0.0|100
0|2021-10-25|2107.0|0|2107.0|0|57.0|0|0.0|100
0|2021-10-26|2115.0|0|2115.0|0|57.0|0|0.0|100
0|2021-10-27|2118.0|0|2118.0|0|57.0|0|0.0|100
0|2021-10-28|2122.0|0|2122.0|0|58.0|0|0.0|100
0|2021-10-29|2128.0|0|2128.0|0|58.0|0|0.0|100
0|2021-10-30|2128.0|0|2128.0|0|58.0|0|0.0|100
0|2021-10-31|2128.0|0|2128.0|0|58.0|0|0.0|100
0|2021-11-01|2142.0|0|2142.0|0|58.0|0|0.0|100
0|2021-11-02|2147.0|0|2147.0|0|58.0|0|0.0|100
0|2021-11-03|2150.0|0|2150.0|0|58.0|0|0.0|100
0|2021-11-04|2151.0|0|2151.0|0|58.0|0|0.0|100
0|2021-11-05|2160.0|0|2160.0|0|59.0|0|0.0|100
0|2021-11-06|2160.0|0|2160.0|0|59.0|0|0.0|100
0|2021-11-07|2160.0|0|2160.0|0|59.0|0|0.0|100
0|2021-11-08|2171.0|0|2171.0|0|61.0|0|0.0|100
0|2021-11-09|2173.0|0|2173.0|0|61.0|0|0.0|100
0|2021-11-10|2177.0|0|2177.0|0|61.0|0|0.0|100
0|2021-11-11|2186.0|0|2186.0|0|62.0|0|0.0|100
0|2021-11-12|2192.0|0|2192.0|0|63.0|0|0.0|100
0|2021-11-13|2192.0|0|2192.0|0|63.0|0|0.0|100
0|2021-11-14|2192.0|0|2192.0|0|63.0|0|0.0|100
0|2021-11-15|2204.0|0|2204.0|0|64.0|0|0.0|100
0|2021-11-16|2208.0|0|2208.0|0|64.0|0|0.0|100
0|2021-11-17|2216.0|0|2216.0|0|65.0|0|0.0|100
0|2021-11-18|2229.0|0|2229.0|0|65.0|0|0.0|100
0|2021-11-19|2234.0|0|2234.0|0|65.0|0|0.0|100
0|2021-11-20|2234.0|0|2234.0|0|65.0|0|0.0|100
