|dates|Gunnison_Colorado_UnitedStates.JHU_ConfirmedCases.data|Gunnison_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Gunnison_Colorado_UnitedStates.NYT_ConfirmedCases.data|Gunnison_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Gunnison_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Gunnison_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Gunnison_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Gunnison_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1803.0|0|1803.0|0|10.0|0|0.0|100
0|2021-10-18|1808.0|0|1808.0|0|11.0|0|0.0|100
0|2021-10-19|1808.0|0|1808.0|0|11.0|0|0.0|100
0|2021-10-20|1809.0|0|1809.0|0|11.0|0|0.0|100
0|2021-10-21|1814.0|0|1814.0|0|11.0|0|0.0|100
0|2021-10-22|1817.0|0|1817.0|0|12.0|0|0.0|100
0|2021-10-23|1817.0|0|1817.0|0|12.0|0|0.0|100
0|2021-10-24|1817.0|0|1817.0|0|12.0|0|0.0|100
0|2021-10-25|1824.0|0|1824.0|0|12.0|0|0.0|100
0|2021-10-26|1827.0|0|1827.0|0|12.0|0|0.0|100
0|2021-10-27|1830.0|0|1830.0|0|12.0|0|0.0|100
0|2021-10-28|1838.0|0|1838.0|0|12.0|0|0.0|100
0|2021-10-29|1840.0|0|1840.0|0|12.0|0|0.0|100
0|2021-10-30|1840.0|0|1840.0|0|12.0|0|0.0|100
0|2021-10-31|1840.0|0|1840.0|0|12.0|0|0.0|100
0|2021-11-01|1847.0|0|1847.0|0|12.0|0|0.0|100
0|2021-11-02|1847.0|0|1847.0|0|12.0|0|0.0|100
0|2021-11-03|1852.0|0|1852.0|0|12.0|0|0.0|100
0|2021-11-04|1858.0|0|1858.0|0|12.0|0|0.0|100
0|2021-11-05|1863.0|0|1863.0|0|12.0|0|0.0|100
0|2021-11-06|1863.0|0|1863.0|0|12.0|0|0.0|100
0|2021-11-07|1863.0|0|1863.0|0|12.0|0|0.0|100
0|2021-11-08|1872.0|0|1872.0|0|12.0|0|0.0|100
0|2021-11-09|1879.0|0|1879.0|0|12.0|0|0.0|100
0|2021-11-10|1883.0|0|1883.0|0|12.0|0|0.0|100
0|2021-11-11|1891.0|0|1891.0|0|12.0|0|0.0|100
0|2021-11-12|1895.0|0|1895.0|0|12.0|0|0.0|100
0|2021-11-13|1895.0|0|1895.0|0|12.0|0|0.0|100
0|2021-11-14|1895.0|0|1895.0|0|12.0|0|0.0|100
0|2021-11-15|1907.0|0|1907.0|0|12.0|0|0.0|100
0|2021-11-16|1910.0|0|1910.0|0|12.0|0|0.0|100
0|2021-11-17|1919.0|0|1919.0|0|12.0|0|0.0|100
0|2021-11-18|1935.0|0|1935.0|0|12.0|0|0.0|100
0|2021-11-19|1939.0|0|1939.0|0|12.0|0|0.0|100
0|2021-11-20|1939.0|0|1939.0|0|12.0|0|0.0|100
0|2021-11-21|1939.0|0|1939.0|0|12.0|0|0.0|100
0|2021-11-22|1961.0|0|1961.0|0|12.0|0|0.0|100
0|2021-11-23|1966.0|0|1966.0|0|12.0|0|0.0|100
0|2021-11-24|1974.0|0|1974.0|0|12.0|0|0.0|100
0|2021-11-25|1979.0|0|1979.0|0|12.0|0|0.0|100
0|2021-11-26|1979.0|0|1979.0|0|12.0|0|0.0|100
0|2021-11-27|1979.0|0|1979.0|0|12.0|0|0.0|100
0|2021-11-28|1979.0|0|1979.0|0|12.0|0|0.0|100
0|2021-11-29|1982.0|0|1982.0|0|12.0|0|0.0|100
0|2021-11-30|1986.0|0|1986.0|0|12.0|0|0.0|100
0|2021-12-01|1991.0|0|1991.0|0|12.0|0|0.0|100
0|2021-12-02|2000.0|0|2000.0|0|12.0|0|0.0|100
0|2021-12-03|2003.0|0|2002.0|0|12.0|0|0.0|100
0|2021-12-04|2003.0|0|2003.0|0|12.0|0|0.0|100
