|dates|Clay_Indiana_UnitedStates.JHU_ConfirmedCases.data|Clay_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Clay_Indiana_UnitedStates.NYT_ConfirmedCases.data|Clay_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Clay_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Clay_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Clay_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Clay_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4184.0|0|4185.0|0|60.0|0|0.0|100
0|2021-10-18|4202.0|0|4203.0|0|60.0|0|0.0|100
0|2021-10-19|4206.0|0|4207.0|0|60.0|0|0.0|100
0|2021-10-20|4213.0|0|4214.0|0|60.0|0|0.0|100
0|2021-10-21|4220.0|0|4221.0|0|60.0|0|0.0|100
0|2021-10-22|4233.0|0|4234.0|0|60.0|0|0.0|100
0|2021-10-23|4233.0|0|4234.0|0|60.0|0|0.0|100
0|2021-10-24|4233.0|0|4234.0|0|60.0|0|0.0|100
0|2021-10-25|4269.0|0|4270.0|0|60.0|0|0.0|100
0|2021-10-26|4277.0|0|4278.0|0|60.0|0|0.0|100
0|2021-10-27|4291.0|0|4292.0|0|60.0|0|0.0|100
0|2021-10-28|4297.0|0|4298.0|0|60.0|0|0.0|100
0|2021-10-29|4305.0|0|4306.0|0|60.0|0|0.0|100
0|2021-10-30|4305.0|0|4306.0|0|60.0|0|0.0|100
0|2021-10-31|4305.0|0|4306.0|0|60.0|0|0.0|100
0|2021-11-01|4321.0|0|4322.0|0|60.0|0|0.0|100
0|2021-11-02|4325.0|0|4326.0|0|60.0|0|0.0|100
0|2021-11-03|4334.0|0|4335.0|0|60.0|0|0.0|100
0|2021-11-04|4339.0|0|4340.0|0|60.0|0|0.0|100
0|2021-11-05|4341.0|0|4342.0|0|60.0|0|0.0|100
0|2021-11-06|4341.0|0|4342.0|0|60.0|0|0.0|100
0|2021-11-07|4341.0|0|4342.0|0|60.0|0|0.0|100
0|2021-11-08|4353.0|0|4354.0|0|60.0|0|0.0|100
0|2021-11-09|4357.0|0|4358.0|0|60.0|0|0.0|100
0|2021-11-10|4364.0|0|4365.0|0|60.0|0|0.0|100
0|2021-11-11|4400.0|0|4401.0|0|60.0|0|0.0|100
0|2021-11-12|4409.0|0|4410.0|0|60.0|0|0.0|100
0|2021-11-13|4409.0|0|4410.0|0|60.0|0|0.0|100
0|2021-11-14|4409.0|0|4410.0|0|60.0|0|0.0|100
0|2021-11-15|4426.0|0|4427.0|0|60.0|0|0.0|100
0|2021-11-16|4435.0|0|4436.0|0|60.0|0|0.0|100
0|2021-11-17|4441.0|0|4442.0|0|60.0|0|0.0|100
0|2021-11-18|4446.0|0|4447.0|0|60.0|0|0.0|100
0|2021-11-19|4469.0|0|4470.0|0|60.0|0|0.0|100
0|2021-11-20|4469.0|0|4470.0|0|60.0|0|0.0|100
0|2021-11-21|4469.0|0|4470.0|0|60.0|0|0.0|100
0|2021-11-22|4502.0|0|4503.0|0|61.0|0|0.0|100
0|2021-11-23|4508.0|0|4509.0|0|62.0|0|0.0|100
