|dates|Yakutat_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Yakutat_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Yakutat_Alaska_UnitedStates.Male_Total_Population.data|Yakutat_Alaska_UnitedStates.Male_Total_Population.missing|Yakutat_Alaska_UnitedStates.Female_Total_Population.data|Yakutat_Alaska_UnitedStates.Female_Total_Population.missing|Yakutat_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|Yakutat_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-10-18|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-10-19|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-10-20|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-10-21|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-10-22|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-10-23|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-10-24|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-10-25|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-10-26|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-10-27|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-10-28|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-10-29|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-10-30|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-10-31|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-01|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-02|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-03|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-04|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-05|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-06|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-07|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-08|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-09|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-10|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-11|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-12|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-13|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-14|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-15|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-16|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-17|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-18|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-19|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-20|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-21|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-22|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-23|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-24|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-25|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-26|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-27|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-28|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-29|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-11-30|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-01|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-02|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-03|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-04|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-05|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-06|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-07|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-08|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-09|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-10|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-11|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-12|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-13|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-14|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-15|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-16|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-17|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-18|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-19|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-20|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-21|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-22|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-23|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-24|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-25|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-26|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-27|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-28|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-29|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-30|118.0|0|335.0|0|269.0|0|112.0|0
0|2021-12-31|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-01|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-02|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-03|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-04|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-05|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-06|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-07|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-08|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-09|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-10|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-11|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-12|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-13|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-14|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-15|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-16|118.0|0|335.0|0|269.0|0|112.0|0
0|2022-01-17|118.0|0|335.0|0|269.0|0|112.0|0
