|dates|Marion_Indiana_UnitedStates.JHU_ConfirmedCases.data|Marion_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Marion_Indiana_UnitedStates.NYT_ConfirmedCases.data|Marion_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Marion_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Marion_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|134326.0|0|134544.0|0|2101.0|0|0.0|100
0|2021-10-18|134763.0|0|134981.0|0|2106.0|0|0.0|100
0|2021-10-19|134914.0|0|135132.0|0|2114.0|0|0.0|100
0|2021-10-20|135107.0|0|135325.0|0|2116.0|0|0.0|100
0|2021-10-21|135357.0|0|135575.0|0|2119.0|0|0.0|100
0|2021-10-22|135521.0|0|135739.0|0|2121.0|0|0.0|100
0|2021-10-23|135521.0|0|135739.0|0|2121.0|0|0.0|100
0|2021-10-24|135521.0|0|135739.0|0|2121.0|0|0.0|100
0|2021-10-25|135929.0|0|136147.0|0|2129.0|0|0.0|100
0|2021-10-26|136068.0|0|136286.0|0|2133.0|0|0.0|100
0|2021-10-27|136218.0|0|136438.0|0|2142.0|0|0.0|100
0|2021-10-28|136438.0|0|136658.0|0|2147.0|0|0.0|100
0|2021-10-29|136578.0|0|136798.0|0|2147.0|0|0.0|100
0|2021-10-30|136578.0|0|136798.0|0|2147.0|0|0.0|100
0|2021-10-31|136578.0|0|136798.0|0|2147.0|0|0.0|100
0|2021-11-01|136969.0|0|137189.0|0|2151.0|0|0.0|100
0|2021-11-02|137138.0|0|137358.0|0|2154.0|0|0.0|100
0|2021-11-03|137280.0|0|137498.0|0|2161.0|0|0.0|100
0|2021-11-04|137479.0|0|137699.0|0|2167.0|0|0.0|100
0|2021-11-05|137667.0|0|137887.0|0|2172.0|0|0.0|100
0|2021-11-06|137667.0|0|137887.0|0|2172.0|0|0.0|100
0|2021-11-07|137667.0|0|137887.0|0|2172.0|0|0.0|100
0|2021-11-08|138122.0|0|138342.0|0|2175.0|0|0.0|100
0|2021-11-09|138329.0|0|138549.0|0|2178.0|0|0.0|100
0|2021-11-10|138329.0|0|138797.0|0|2178.0|0|0.0|100
0|2021-11-11|139160.0|0|139380.0|0|2182.0|0|0.0|100
0|2021-11-12|139373.0|0|139593.0|0|2191.0|0|0.0|100
0|2021-11-13|139373.0|0|139593.0|0|2191.0|0|0.0|100
0|2021-11-14|139373.0|0|139593.0|0|2191.0|0|0.0|100
