|dates|Plymouth_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Plymouth_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Plymouth_Massachusetts_UnitedStates.NYT_ConfirmedCases.data|Plymouth_Massachusetts_UnitedStates.NYT_ConfirmedCases.missing|Plymouth_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Plymouth_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Plymouth_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Plymouth_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|58039.0|0|58039.0|0|1508.0|0|0.0|100
0|2021-10-18|58215.0|0|58215.0|0|1509.0|0|0.0|100
0|2021-10-19|58423.0|0|58423.0|0|1510.0|0|0.0|100
0|2021-10-20|58505.0|0|58505.0|0|1510.0|0|0.0|100
0|2021-10-21|58587.0|0|58587.0|0|1512.0|0|0.0|100
0|2021-10-22|58710.0|0|58710.0|0|1513.0|0|0.0|100
0|2021-10-23|58710.0|0|58710.0|0|1513.0|0|0.0|100
0|2021-10-24|58710.0|0|58710.0|0|1513.0|0|0.0|100
0|2021-10-25|59018.0|0|59018.0|0|1515.0|0|0.0|100
0|2021-10-26|59109.0|0|59109.0|0|1519.0|0|0.0|100
0|2021-10-27|59216.0|0|59216.0|0|1523.0|0|0.0|100
0|2021-10-28|59216.0|0|59394.0|0|1524.0|0|0.0|100
0|2021-10-29|59487.0|0|59487.0|0|1524.0|0|0.0|100
0|2021-10-30|59487.0|0|59487.0|0|1524.0|0|0.0|100
0|2021-10-31|59487.0|0|59487.0|0|1524.0|0|0.0|100
0|2021-11-01|59674.0|0|59674.0|0|1526.0|0|0.0|100
0|2021-11-02|59788.0|0|59788.0|0|1531.0|0|0.0|100
0|2021-11-03|59881.0|0|59881.0|0|1533.0|0|0.0|100
0|2021-11-04|59987.0|0|59987.0|0|1537.0|0|0.0|100
0|2021-11-05|60077.0|0|60077.0|0|1542.0|0|0.0|100
0|2021-11-06|60077.0|0|60077.0|0|1542.0|0|0.0|100
0|2021-11-07|60077.0|0|60077.0|0|1542.0|0|0.0|100
0|2021-11-08|60365.0|0|60365.0|0|1543.0|0|0.0|100
0|2021-11-09|60488.0|0|60488.0|0|1548.0|0|0.0|100
0|2021-11-10|60589.0|0|60589.0|0|1551.0|0|0.0|100
0|2021-11-11|60589.0|0|60589.0|0|1551.0|0|0.0|100
0|2021-11-12|60834.0|0|60834.0|0|1552.0|0|0.0|100
0|2021-11-13|60834.0|0|60834.0|0|1552.0|0|0.0|100
0|2021-11-14|60834.0|0|60834.0|0|1552.0|0|0.0|100
0|2021-11-15|61194.0|0|61194.0|0|1556.0|0|0.0|100
0|2021-11-16|61345.0|0|61345.0|0|1558.0|0|0.0|100
0|2021-11-17|61585.0|0|61585.0|0|1558.0|0|0.0|100
0|2021-11-18|61909.0|0|61909.0|0|1559.0|0|0.0|100
0|2021-11-19|62097.0|0|62097.0|0|1562.0|0|0.0|100
0|2021-11-20|62097.0|0|62097.0|0|1562.0|0|0.0|100
0|2021-11-21|62097.0|0|62097.0|0|1562.0|0|0.0|100
0|2021-11-22|62657.0|0|62657.0|0|1565.0|0|0.0|100
0|2021-11-23|63038.0|0|63038.0|0|1565.0|0|0.0|100
0|2021-11-24|63281.0|0|63281.0|0|1567.0|0|0.0|100
