|dates|Bell_Texas_UnitedStates.JHU_ConfirmedCases.data|Bell_Texas_UnitedStates.JHU_ConfirmedCases.missing|Bell_Texas_UnitedStates.NYT_ConfirmedCases.data|Bell_Texas_UnitedStates.NYT_ConfirmedCases.missing|Bell_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Bell_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Bell_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Bell_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|38125.0|0|38125.0|0|684.0|0|0.0|100
0|2021-10-18|38125.0|0|38125.0|0|684.0|0|0.0|100
0|2021-10-19|38211.0|0|38211.0|0|685.0|0|0.0|100
0|2021-10-20|38248.0|0|38248.0|0|691.0|0|0.0|100
0|2021-10-21|38307.0|0|38307.0|0|695.0|0|0.0|100
0|2021-10-22|38344.0|0|38344.0|0|698.0|0|0.0|100
0|2021-10-23|38344.0|0|38344.0|0|701.0|0|0.0|100
0|2021-10-24|38344.0|0|38344.0|0|702.0|0|0.0|100
0|2021-10-25|38344.0|0|38344.0|0|704.0|0|0.0|100
0|2021-10-26|38344.0|0|38344.0|0|705.0|0|0.0|100
0|2021-10-27|38506.0|0|38506.0|0|707.0|0|0.0|100
0|2021-10-28|38506.0|0|38506.0|0|709.0|0|0.0|100
0|2021-10-29|38631.0|0|38631.0|0|710.0|0|0.0|100
0|2021-10-30|38691.0|0|38691.0|0|710.0|0|0.0|100
0|2021-10-31|38691.0|0|38691.0|0|712.0|0|0.0|100
0|2021-11-01|38691.0|0|38691.0|0|712.0|0|0.0|100
0|2021-11-02|38757.0|0|38757.0|0|712.0|0|0.0|100
0|2021-11-03|38808.0|0|38808.0|0|714.0|0|0.0|100
0|2021-11-04|38878.0|0|38878.0|0|718.0|0|0.0|100
0|2021-11-05|38911.0|0|38911.0|0|719.0|0|0.0|100
0|2021-11-06|39077.0|0|39077.0|0|719.0|0|0.0|100
0|2021-11-07|39077.0|0|39077.0|0|719.0|0|0.0|100
0|2021-11-08|39077.0|0|39077.0|0|719.0|0|0.0|100
