|dates|Fulton_NewYork_UnitedStates.JHU_ConfirmedCases.data|Fulton_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Fulton_NewYork_UnitedStates.NYT_ConfirmedCases.data|Fulton_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Fulton_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Fulton_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Fulton_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Fulton_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6228.0|0|6228.0|0|102.0|0|0.0|100
0|2021-10-18|6244.0|0|6244.0|0|102.0|0|0.0|100
0|2021-10-19|6258.0|0|6258.0|0|102.0|0|0.0|100
0|2021-10-20|6296.0|0|6296.0|0|102.0|0|0.0|100
0|2021-10-21|6331.0|0|6331.0|0|104.0|0|0.0|100
0|2021-10-22|6365.0|0|6365.0|0|104.0|0|0.0|100
0|2021-10-23|6412.0|0|6412.0|0|104.0|0|0.0|100
0|2021-10-24|6432.0|0|6432.0|0|104.0|0|0.0|100
0|2021-10-25|6465.0|0|6465.0|0|104.0|0|0.0|100
0|2021-10-26|6473.0|0|6473.0|0|104.0|0|0.0|100
0|2021-10-27|6516.0|0|6516.0|0|104.0|0|0.0|100
0|2021-10-28|6542.0|0|6542.0|0|104.0|0|0.0|100
0|2021-10-29|6597.0|0|6597.0|0|104.0|0|0.0|100
0|2021-10-30|6634.0|0|6634.0|0|104.0|0|0.0|100
0|2021-10-31|6665.0|0|6665.0|0|104.0|0|0.0|100
0|2021-11-01|6693.0|0|6693.0|0|104.0|0|0.0|100
0|2021-11-02|6710.0|0|6710.0|0|104.0|0|0.0|100
0|2021-11-03|6736.0|0|6736.0|0|104.0|0|0.0|100
0|2021-11-04|6779.0|0|6779.0|0|104.0|0|0.0|100
0|2021-11-05|6822.0|0|6822.0|0|105.0|0|0.0|100
0|2021-11-06|6871.0|0|6871.0|0|105.0|0|0.0|100
0|2021-11-07|6911.0|0|6911.0|0|105.0|0|0.0|100
0|2021-11-08|6944.0|0|6944.0|0|105.0|0|0.0|100
