|dates|Jefferson_Texas_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Texas_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Texas_UnitedStates.NYT_ConfirmedCases.data|Jefferson_Texas_UnitedStates.NYT_ConfirmedCases.missing|Jefferson_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|31439.0|0|31439.0|0|672.0|0|0.0|100
0|2021-10-18|31439.0|0|31439.0|0|672.0|0|0.0|100
0|2021-10-19|31476.0|0|31476.0|0|677.0|0|0.0|100
0|2021-10-20|31521.0|0|31521.0|0|680.0|0|0.0|100
0|2021-10-21|31556.0|0|31556.0|0|682.0|0|0.0|100
0|2021-10-22|31576.0|0|31576.0|0|685.0|0|0.0|100
0|2021-10-23|31593.0|0|31593.0|0|688.0|0|0.0|100
0|2021-10-24|31593.0|0|31593.0|0|691.0|0|0.0|100
0|2021-10-25|31593.0|0|31593.0|0|691.0|0|0.0|100
0|2021-10-26|31622.0|0|31622.0|0|692.0|0|0.0|100
0|2021-10-27|31633.0|0|31633.0|0|694.0|0|0.0|100
0|2021-10-28|31663.0|0|31663.0|0|699.0|0|0.0|100
0|2021-10-29|31677.0|0|31677.0|0|699.0|0|0.0|100
0|2021-10-30|31688.0|0|31688.0|0|700.0|0|0.0|100
0|2021-10-31|31688.0|0|31688.0|0|700.0|0|0.0|100
0|2021-11-01|31688.0|0|31688.0|0|701.0|0|0.0|100
0|2021-11-02|31703.0|0|31703.0|0|702.0|0|0.0|100
0|2021-11-03|31725.0|0|31725.0|0|702.0|0|0.0|100
0|2021-11-04|31740.0|0|31740.0|0|704.0|0|0.0|100
0|2021-11-05|31753.0|0|31753.0|0|707.0|0|0.0|100
0|2021-11-06|31761.0|0|31761.0|0|708.0|0|0.0|100
0|2021-11-07|31761.0|0|31761.0|0|708.0|0|0.0|100
0|2021-11-08|31761.0|0|31761.0|0|708.0|0|0.0|100
0|2021-11-09|32453.0|0|32453.0|0|708.0|0|0.0|100
0|2021-11-10|32453.0|0|31781.0|0|708.0|0|0.0|100
0|2021-11-11|31801.0|0|31801.0|0|710.0|0|0.0|100
0|2021-11-12|31804.0|0|31804.0|0|714.0|0|0.0|100
0|2021-11-13|31806.0|0|31806.0|0|714.0|0|0.0|100
0|2021-11-14|31806.0|0|31806.0|0|715.0|0|0.0|100
0|2021-11-15|31806.0|0|31806.0|0|715.0|0|0.0|100
0|2021-11-16|31806.0|0|31806.0|0|716.0|0|0.0|100
0|2021-11-17|31811.0|0|31811.0|0|718.0|0|0.0|100
