|dates|Camas_Idaho_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Camas_Idaho_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Camas_Idaho_UnitedStates.Male_Total_Population.data|Camas_Idaho_UnitedStates.Male_Total_Population.missing|Camas_Idaho_UnitedStates.Female_Total_Population.data|Camas_Idaho_UnitedStates.Female_Total_Population.missing|Camas_Idaho_UnitedStates.MaleAndFemale_Under18_Population.data|Camas_Idaho_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-10-18|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-10-19|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-10-20|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-10-21|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-10-22|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-10-23|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-10-24|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-10-25|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-10-26|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-10-27|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-10-28|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-10-29|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-10-30|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-10-31|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-01|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-02|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-03|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-04|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-05|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-06|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-07|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-08|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-09|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-10|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-11|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-12|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-13|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-14|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-15|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-16|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-17|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-18|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-19|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-20|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-21|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-22|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-23|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-24|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-25|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-26|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-27|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-28|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-29|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-11-30|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-01|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-02|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-03|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-04|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-05|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-06|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-07|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-08|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-09|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-10|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-11|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-12|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-13|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-14|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-15|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-16|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-17|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-18|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-19|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-20|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-21|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-22|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-23|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-24|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-25|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-26|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-27|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-28|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-29|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-30|253.0|0|570.0|0|557.0|0|263.0|0
0|2021-12-31|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-01|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-02|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-03|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-04|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-05|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-06|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-07|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-08|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-09|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-10|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-11|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-12|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-13|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-14|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-15|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-16|253.0|0|570.0|0|557.0|0|263.0|0
0|2022-01-17|253.0|0|570.0|0|557.0|0|263.0|0
