|dates|Unassigned_Washington_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Washington_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Washington_UnitedStates.NYT_ConfirmedCases.data|Unassigned_Washington_UnitedStates.NYT_ConfirmedCases.missing|Unassigned_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1537.0|0|0.0|100|4.0|0|0.0|100
0|2021-10-18|1537.0|0|0.0|100|4.0|0|0.0|100
0|2021-10-19|1536.0|0|0.0|100|3.0|0|0.0|100
0|2021-10-20|1511.0|0|0.0|100|4.0|0|0.0|100
0|2021-10-21|1494.0|0|0.0|100|4.0|0|0.0|100
0|2021-10-22|1496.0|0|0.0|100|4.0|0|0.0|100
0|2021-10-23|1496.0|0|0.0|100|4.0|0|0.0|100
0|2021-10-24|1496.0|0|0.0|100|4.0|0|0.0|100
0|2021-10-25|1508.0|0|0.0|100|4.0|0|0.0|100
0|2021-10-26|1495.0|0|0.0|100|4.0|0|0.0|100
0|2021-10-27|1501.0|0|0.0|100|4.0|0|0.0|100
0|2021-10-28|1494.0|0|0.0|100|4.0|0|0.0|100
0|2021-10-29|1506.0|0|0.0|100|4.0|0|0.0|100
0|2021-10-30|1506.0|0|0.0|100|4.0|0|0.0|100
0|2021-10-31|1506.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-01|1498.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-02|1508.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-03|1503.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-04|1505.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-05|1508.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-06|1508.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-07|1508.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-08|1519.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-09|1516.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-10|1516.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-11|1524.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-12|1522.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-13|1522.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-14|1522.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-15|1519.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-16|1515.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-17|1526.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-18|1532.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-19|1533.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-20|1533.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-21|1533.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-22|1536.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-23|1528.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-24|1538.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-25|1538.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-26|1538.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-27|1538.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-28|1538.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-29|1544.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-30|1535.0|0|0.0|100|4.0|0|0.0|100
0|2021-12-01|1535.0|0|0.0|100|4.0|0|0.0|100
0|2021-12-02|1544.0|0|0.0|100|4.0|0|0.0|100
0|2021-12-03|1540.0|0|0.0|100|4.0|0|0.0|100
0|2021-12-04|1540.0|0|0.0|100|4.0|0|0.0|100
0|2021-12-05|1540.0|0|0.0|100|4.0|0|0.0|100
0|2021-12-06|1538.0|0|0.0|100|4.0|0|0.0|100
0|2021-12-07|1540.0|0|0.0|100|4.0|0|0.0|100
0|2021-12-08|1541.0|0|0.0|100|4.0|0|0.0|100
0|2021-12-09|1551.0|0|0.0|100|4.0|0|0.0|100
0|2021-12-10|1542.0|0|0.0|100|4.0|0|0.0|100
0|2021-12-11|1542.0|0|0.0|100|4.0|0|0.0|100
