|dates|Perquimans_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Perquimans_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Perquimans_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Perquimans_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Perquimans_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Perquimans_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Perquimans_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Perquimans_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1496.0|0|1496.0|0|15.0|0|0.0|100
0|2021-10-18|1506.0|0|1506.0|0|15.0|0|0.0|100
0|2021-10-19|1508.0|0|1508.0|0|15.0|0|0.0|100
0|2021-10-20|1511.0|0|1511.0|0|15.0|0|0.0|100
0|2021-10-21|1516.0|0|1516.0|0|15.0|0|0.0|100
0|2021-10-22|1519.0|0|1519.0|0|15.0|0|0.0|100
0|2021-10-23|1519.0|0|1519.0|0|15.0|0|0.0|100
0|2021-10-24|1519.0|0|1519.0|0|15.0|0|0.0|100
0|2021-10-25|1540.0|0|1540.0|0|15.0|0|0.0|100
0|2021-10-26|1544.0|0|1544.0|0|15.0|0|0.0|100
0|2021-10-27|1546.0|0|1546.0|0|15.0|0|0.0|100
0|2021-10-28|1551.0|0|1551.0|0|15.0|0|0.0|100
0|2021-10-29|1558.0|0|1558.0|0|15.0|0|0.0|100
0|2021-10-30|1558.0|0|1558.0|0|15.0|0|0.0|100
0|2021-10-31|1558.0|0|1558.0|0|15.0|0|0.0|100
0|2021-11-01|1572.0|0|1572.0|0|15.0|0|0.0|100
0|2021-11-02|1574.0|0|1574.0|0|15.0|0|0.0|100
0|2021-11-03|1579.0|0|1579.0|0|15.0|0|0.0|100
0|2021-11-04|1585.0|0|1585.0|0|15.0|0|0.0|100
0|2021-11-05|1588.0|0|1588.0|0|15.0|0|0.0|100
0|2021-11-06|1588.0|0|1588.0|0|15.0|0|0.0|100
0|2021-11-07|1588.0|0|1588.0|0|15.0|0|0.0|100
0|2021-11-08|1593.0|0|1593.0|0|15.0|0|0.0|100
0|2021-11-09|1597.0|0|1597.0|0|15.0|0|0.0|100
0|2021-11-10|1597.0|0|1599.0|0|15.0|0|0.0|100
0|2021-11-11|1599.0|0|1599.0|0|15.0|0|0.0|100
0|2021-11-12|1613.0|0|1613.0|0|15.0|0|0.0|100
0|2021-11-13|1613.0|0|1613.0|0|15.0|0|0.0|100
0|2021-11-14|1613.0|0|1613.0|0|15.0|0|0.0|100
0|2021-11-15|1616.0|0|1616.0|0|15.0|0|0.0|100
0|2021-11-16|1618.0|0|1618.0|0|15.0|0|0.0|100
0|2021-11-17|1626.0|0|1626.0|0|15.0|0|0.0|100
0|2021-11-18|1638.0|0|1638.0|0|15.0|0|0.0|100
0|2021-11-19|1641.0|0|1641.0|0|15.0|0|0.0|100
0|2021-11-20|1641.0|0|1641.0|0|15.0|0|0.0|100
0|2021-11-21|1641.0|0|1641.0|0|15.0|0|0.0|100
0|2021-11-22|1656.0|0|1656.0|0|15.0|0|0.0|100
0|2021-11-23|1657.0|0|1657.0|0|15.0|0|0.0|100
0|2021-11-24|1661.0|0|1661.0|0|15.0|0|0.0|100
0|2021-11-25|1661.0|0|1661.0|0|15.0|0|0.0|100
0|2021-11-26|1661.0|0|1661.0|0|15.0|0|0.0|100
0|2021-11-27|1661.0|0|1661.0|0|15.0|0|0.0|100
0|2021-11-28|1661.0|0|1661.0|0|15.0|0|0.0|100
0|2021-11-29|1683.0|0|1683.0|0|15.0|0|0.0|100
0|2021-11-30|1689.0|0|1689.0|0|15.0|0|0.0|100
0|2021-12-01|1694.0|0|1694.0|0|15.0|0|0.0|100
0|2021-12-02|1695.0|0|1695.0|0|16.0|0|0.0|100
0|2021-12-03|1695.0|0|1699.0|0|16.0|0|0.0|100
