|dates|York_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|York_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|York_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|York_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|York_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|York_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|York_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|York_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|60078.0|0|60078.0|0|940.0|0|0.0|100
0|2021-10-18|60259.0|0|60259.0|0|942.0|0|0.0|100
0|2021-10-19|60440.0|0|60440.0|0|945.0|0|0.0|100
0|2021-10-20|60631.0|0|60631.0|0|949.0|0|0.0|100
0|2021-10-21|60866.0|0|60866.0|0|951.0|0|0.0|100
0|2021-10-22|61118.0|0|61118.0|0|953.0|0|0.0|100
0|2021-10-23|61293.0|0|61293.0|0|954.0|0|0.0|100
0|2021-10-24|61574.0|0|61574.0|0|954.0|0|0.0|100
0|2021-10-25|61707.0|0|61707.0|0|954.0|0|0.0|100
0|2021-10-26|61846.0|0|61846.0|0|957.0|0|0.0|100
0|2021-10-27|62106.0|0|62106.0|0|966.0|0|0.0|100
0|2021-10-28|62358.0|0|62358.0|0|971.0|0|0.0|100
0|2021-10-29|62548.0|0|62548.0|0|976.0|0|0.0|100
0|2021-10-30|62751.0|0|62751.0|0|977.0|0|0.0|100
0|2021-10-31|62909.0|0|62909.0|0|979.0|0|0.0|100
0|2021-11-01|62909.0|0|62909.0|0|979.0|0|0.0|100
0|2021-11-02|63225.0|0|63225.0|0|981.0|0|0.0|100
0|2021-11-03|63354.0|0|63354.0|0|990.0|0|0.0|100
0|2021-11-04|63629.0|0|63629.0|0|993.0|0|0.0|100
0|2021-11-05|63889.0|0|63889.0|0|998.0|0|0.0|100
0|2021-11-06|64107.0|0|64107.0|0|999.0|0|0.0|100
0|2021-11-07|64259.0|0|64259.0|0|999.0|0|0.0|100
0|2021-11-08|64425.0|0|64425.0|0|1002.0|0|0.0|100
0|2021-11-09|64570.0|0|64570.0|0|1004.0|0|0.0|100
0|2021-11-10|64760.0|0|64760.0|0|1013.0|0|0.0|100
0|2021-11-11|65028.0|0|65028.0|0|1015.0|0|0.0|100
0|2021-11-12|65235.0|0|65235.0|0|1015.0|0|0.0|100
0|2021-11-13|66404.0|0|66404.0|0|1020.0|0|0.0|100
0|2021-11-14|66586.0|0|66586.0|0|1023.0|0|0.0|100
0|2021-11-15|66754.0|0|66754.0|0|1023.0|0|0.0|100
0|2021-11-16|66993.0|0|66993.0|0|1027.0|0|0.0|100
0|2021-11-17|67238.0|0|67238.0|0|1038.0|0|0.0|100
0|2021-11-18|67519.0|0|67519.0|0|1042.0|0|0.0|100
0|2021-11-19|67776.0|0|67776.0|0|1045.0|0|0.0|100
0|2021-11-20|67957.0|0|67957.0|0|1050.0|0|0.0|100
0|2021-11-21|68294.0|0|68294.0|0|1052.0|0|0.0|100
0|2021-11-22|68544.0|0|68544.0|0|1053.0|0|0.0|100
0|2021-11-23|68764.0|0|68764.0|0|1054.0|0|0.0|100
0|2021-11-24|69066.0|0|69066.0|0|1058.0|0|0.0|100
0|2021-11-25|69383.0|0|69383.0|0|1064.0|0|0.0|100
0|2021-11-26|69678.0|0|69678.0|0|1064.0|0|0.0|100
0|2021-11-27|69910.0|0|69910.0|0|1064.0|0|0.0|100
0|2021-11-28|70099.0|0|70099.0|0|1065.0|0|0.0|100
0|2021-11-29|70372.0|0|70372.0|0|1066.0|0|0.0|100
0|2021-11-30|70599.0|0|70599.0|0|1070.0|0|0.0|100
0|2021-12-01|70896.0|0|70896.0|0|1072.0|0|0.0|100
0|2021-12-02|71342.0|0|71342.0|0|1075.0|0|0.0|100
0|2021-12-03|71617.0|0|71617.0|0|1079.0|0|0.0|100
0|2021-12-04|72146.0|0|72146.0|0|1083.0|0|0.0|100
0|2021-12-05|72448.0|0|72448.0|0|1086.0|0|0.0|100
0|2021-12-06|72719.0|0|72719.0|0|1088.0|0|0.0|100
0|2021-12-07|73026.0|0|73026.0|0|1092.0|0|0.0|100
0|2021-12-08|73282.0|0|73282.0|0|1095.0|0|0.0|100
0|2021-12-09|73728.0|0|73728.0|0|1097.0|0|0.0|100
0|2021-12-10|74081.0|0|74081.0|0|1100.0|0|0.0|100
0|2021-12-11|74629.0|0|74629.0|0|1106.0|0|0.0|100
0|2021-12-12|75136.0|0|75136.0|0|1109.0|0|0.0|100
0|2021-12-13|75451.0|0|75451.0|0|1109.0|0|0.0|100
0|2021-12-14|75451.0|0|75757.0|0|1109.0|0|0.0|100
0|2021-12-15|76049.0|0|76049.0|0|1125.0|0|0.0|100
0|2021-12-16|76480.0|0|76480.0|0|1130.0|0|0.0|100
0|2021-12-17|76873.0|0|76873.0|0|1136.0|0|0.0|100
0|2021-12-18|77358.0|0|77358.0|0|1144.0|0|0.0|100
0|2021-12-19|77823.0|0|77823.0|0|1144.0|0|0.0|100
0|2021-12-20|78153.0|0|78153.0|0|1148.0|0|0.0|100
0|2021-12-21|78696.0|0|78696.0|0|1152.0|0|0.0|100
0|2021-12-22|79983.0|0|79983.0|0|1158.0|0|0.0|100
0|2021-12-23|80756.0|0|80756.0|0|1165.0|0|0.0|100
0|2021-12-24|81411.0|0|81411.0|0|1171.0|0|0.0|100
0|2021-12-25|82094.0|0|82094.0|0|1171.0|0|0.0|100
