|dates|Hickman_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Hickman_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Hickman_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Hickman_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Hickman_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Hickman_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Hickman_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Hickman_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|547.0|0|547.0|0|19.0|0|0.0|100
0|2021-10-18|547.0|0|547.0|0|19.0|0|0.0|100
0|2021-10-19|548.0|0|548.0|0|19.0|0|0.0|100
0|2021-10-20|548.0|0|548.0|0|19.0|0|0.0|100
0|2021-10-21|551.0|0|551.0|0|19.0|0|0.0|100
0|2021-10-22|553.0|0|553.0|0|19.0|0|0.0|100
0|2021-10-23|553.0|0|553.0|0|19.0|0|0.0|100
0|2021-10-24|553.0|0|553.0|0|19.0|0|0.0|100
0|2021-10-25|554.0|0|554.0|0|19.0|0|0.0|100
0|2021-10-26|554.0|0|554.0|0|19.0|0|0.0|100
0|2021-10-27|559.0|0|559.0|0|19.0|0|0.0|100
0|2021-10-28|565.0|0|565.0|0|19.0|0|0.0|100
0|2021-10-29|566.0|0|566.0|0|19.0|0|0.0|100
0|2021-10-30|566.0|0|566.0|0|19.0|0|0.0|100
0|2021-10-31|566.0|0|566.0|0|19.0|0|0.0|100
0|2021-11-01|565.0|0|565.0|0|19.0|0|0.0|100
0|2021-11-02|566.0|0|566.0|0|19.0|0|0.0|100
0|2021-11-03|568.0|0|568.0|0|19.0|0|0.0|100
0|2021-11-04|569.0|0|569.0|0|19.0|0|0.0|100
0|2021-11-05|569.0|0|569.0|0|19.0|0|0.0|100
0|2021-11-06|569.0|0|569.0|0|19.0|0|0.0|100
0|2021-11-07|569.0|0|569.0|0|19.0|0|0.0|100
0|2021-11-08|569.0|0|569.0|0|19.0|0|0.0|100
0|2021-11-09|570.0|0|570.0|0|19.0|0|0.0|100
0|2021-11-10|570.0|0|570.0|0|19.0|0|0.0|100
0|2021-11-11|570.0|0|570.0|0|19.0|0|0.0|100
0|2021-11-12|572.0|0|572.0|0|19.0|0|0.0|100
0|2021-11-13|572.0|0|572.0|0|19.0|0|0.0|100
0|2021-11-14|572.0|0|572.0|0|19.0|0|0.0|100
0|2021-11-15|575.0|0|575.0|0|20.0|0|0.0|100
0|2021-11-16|574.0|0|574.0|0|20.0|0|0.0|100
0|2021-11-17|580.0|0|580.0|0|20.0|0|0.0|100
0|2021-11-18|580.0|0|580.0|0|20.0|0|0.0|100
0|2021-11-19|581.0|0|581.0|0|21.0|0|0.0|100
0|2021-11-20|581.0|0|581.0|0|21.0|0|0.0|100
0|2021-11-21|581.0|0|581.0|0|21.0|0|0.0|100
0|2021-11-22|581.0|0|581.0|0|21.0|0|0.0|100
