|dates|Brule_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Brule_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Brule_SouthDakota_UnitedStates.Male_Total_Population.data|Brule_SouthDakota_UnitedStates.Male_Total_Population.missing|Brule_SouthDakota_UnitedStates.Female_Total_Population.data|Brule_SouthDakota_UnitedStates.Female_Total_Population.missing|Brule_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Brule_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-10-18|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-10-19|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-10-20|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-10-21|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-10-22|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-10-23|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-10-24|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-10-25|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-10-26|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-10-27|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-10-28|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-10-29|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-10-30|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-10-31|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-01|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-02|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-03|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-04|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-05|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-06|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-07|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-08|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-09|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-10|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-11|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-12|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-13|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-14|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-15|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-16|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-17|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-18|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-19|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-20|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-21|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-22|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-23|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-24|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-25|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-26|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-27|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-28|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-29|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-11-30|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-01|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-02|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-03|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-04|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-05|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-06|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-07|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-08|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-09|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-10|992.0|0|2612.0|0|2617.0|0|1365.0|0
0|2021-12-11|992.0|0|2612.0|0|2617.0|0|1365.0|0
