|dates|Douglas_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Douglas_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Douglas_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Douglas_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Douglas_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Douglas_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Douglas_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Douglas_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|85530.0|0|85544.0|0|718.0|0|0.0|100
0|2021-10-18|85735.0|0|85749.0|0|718.0|0|0.0|100
0|2021-10-19|85892.0|0|85906.0|0|718.0|0|0.0|100
0|2021-10-20|86022.0|0|86036.0|0|718.0|0|0.0|100
0|2021-10-21|86248.0|0|86262.0|0|718.0|0|0.0|100
0|2021-10-22|86248.0|0|86373.0|0|718.0|0|0.0|100
0|2021-10-23|86248.0|0|86373.0|0|718.0|0|0.0|100
0|2021-10-24|86248.0|0|86373.0|0|718.0|0|0.0|100
0|2021-10-25|86248.0|0|86624.0|0|718.0|0|0.0|100
0|2021-10-26|86248.0|0|86808.0|0|718.0|0|0.0|100
0|2021-10-27|86959.0|0|86973.0|0|718.0|0|0.0|100
0|2021-10-28|86959.0|0|87157.0|0|718.0|0|0.0|100
0|2021-10-29|86959.0|0|87304.0|0|718.0|0|0.0|100
0|2021-10-30|86959.0|0|87304.0|0|718.0|0|0.0|100
0|2021-10-31|86959.0|0|87304.0|0|718.0|0|0.0|100
0|2021-11-01|86959.0|0|87609.0|0|718.0|0|0.0|100
0|2021-11-02|86959.0|0|87609.0|0|718.0|0|0.0|100
0|2021-11-03|88004.0|0|88018.0|0|718.0|0|0.0|100
0|2021-11-04|88004.0|0|88171.0|0|718.0|0|0.0|100
0|2021-11-05|88004.0|0|88426.0|0|718.0|0|0.0|100
0|2021-11-06|88004.0|0|88426.0|0|718.0|0|0.0|100
0|2021-11-07|88004.0|0|88426.0|0|718.0|0|0.0|100
0|2021-11-08|88720.0|0|88734.0|0|718.0|0|0.0|100
0|2021-11-09|89075.0|0|89089.0|0|718.0|0|0.0|100
0|2021-11-10|89075.0|0|89281.0|0|718.0|0|0.0|100
