|dates|Marengo_Alabama_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Marengo_Alabama_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Marengo_Alabama_UnitedStates.Male_Total_Population.data|Marengo_Alabama_UnitedStates.Male_Total_Population.missing|Marengo_Alabama_UnitedStates.Female_Total_Population.data|Marengo_Alabama_UnitedStates.Female_Total_Population.missing|Marengo_Alabama_UnitedStates.MaleAndFemale_Under18_Population.data|Marengo_Alabama_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-10-18|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-10-19|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-10-20|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-10-21|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-10-22|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-10-23|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-10-24|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-10-25|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-10-26|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-10-27|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-10-28|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-10-29|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-10-30|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-10-31|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-01|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-02|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-03|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-04|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-05|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-06|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-07|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-08|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-09|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-10|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-11|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-12|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-13|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-14|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-15|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-16|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-17|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-18|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-19|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-20|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-21|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-22|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-23|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-24|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-25|3737.0|0|8933.0|0|10133.0|0|4335.0|0
0|2021-11-26|3737.0|0|8933.0|0|10133.0|0|4335.0|0
