|dates|Douglas_Nevada_UnitedStates.JHU_ConfirmedCases.data|Douglas_Nevada_UnitedStates.JHU_ConfirmedCases.missing|Douglas_Nevada_UnitedStates.NYT_ConfirmedCases.data|Douglas_Nevada_UnitedStates.NYT_ConfirmedCases.missing|Douglas_Nevada_UnitedStates.JHU_ConfirmedDeaths.data|Douglas_Nevada_UnitedStates.JHU_ConfirmedDeaths.missing|Douglas_Nevada_UnitedStates.JHU_ConfirmedRecoveries.data|Douglas_Nevada_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4515.0|0|4589.0|0|53.0|0|0.0|100
0|2021-10-18|4519.0|0|4592.0|0|53.0|0|0.0|100
0|2021-10-19|4541.0|0|4616.0|0|53.0|0|0.0|100
0|2021-10-20|4554.0|0|4631.0|0|53.0|0|0.0|100
0|2021-10-21|4565.0|0|4643.0|0|53.0|0|0.0|100
0|2021-10-22|4572.0|0|4651.0|0|53.0|0|0.0|100
0|2021-10-23|4572.0|0|4651.0|0|53.0|0|0.0|100
0|2021-10-24|4572.0|0|4651.0|0|53.0|0|0.0|100
0|2021-10-25|4576.0|0|4655.0|0|53.0|0|0.0|100
0|2021-10-26|4588.0|0|4667.0|0|56.0|0|0.0|100
0|2021-10-27|4603.0|0|4686.0|0|56.0|0|0.0|100
0|2021-10-28|4604.0|0|4687.0|0|57.0|0|0.0|100
0|2021-10-29|4604.0|0|4687.0|0|57.0|0|0.0|100
0|2021-10-30|4604.0|0|4687.0|0|57.0|0|0.0|100
0|2021-10-31|4604.0|0|4687.0|0|57.0|0|0.0|100
0|2021-11-01|4618.0|0|4701.0|0|57.0|0|0.0|100
0|2021-11-02|4648.0|0|4731.0|0|57.0|0|0.0|100
0|2021-11-03|4672.0|0|4762.0|0|57.0|0|0.0|100
0|2021-11-04|4734.0|0|4833.0|0|57.0|0|0.0|100
0|2021-11-05|4750.0|0|4847.0|0|57.0|0|0.0|100
0|2021-11-06|4750.0|0|4847.0|0|57.0|0|0.0|100
0|2021-11-07|4750.0|0|4847.0|0|57.0|0|0.0|100
0|2021-11-08|4771.0|0|4873.0|0|64.0|0|0.0|100
0|2021-11-09|4816.0|0|4917.0|0|65.0|0|0.0|100
0|2021-11-10|4825.0|0|4926.0|0|65.0|0|0.0|100
0|2021-11-11|4825.0|0|4926.0|0|65.0|0|0.0|100
0|2021-11-12|4843.0|0|4943.0|0|65.0|0|0.0|100
0|2021-11-13|4843.0|0|4943.0|0|65.0|0|0.0|100
0|2021-11-14|4843.0|0|4943.0|0|65.0|0|0.0|100
0|2021-11-15|4863.0|0|4960.0|0|65.0|0|0.0|100
0|2021-11-16|4887.0|0|4984.0|0|66.0|0|0.0|100
0|2021-11-17|4894.0|0|4991.0|0|66.0|0|0.0|100
0|2021-11-18|4906.0|0|5003.0|0|66.0|0|0.0|100
0|2021-11-19|4917.0|0|5014.0|0|66.0|0|0.0|100
0|2021-11-20|4917.0|0|5014.0|0|66.0|0|0.0|100
0|2021-11-21|4917.0|0|5014.0|0|66.0|0|0.0|100
0|2021-11-22|4929.0|0|5025.0|0|66.0|0|0.0|100
0|2021-11-23|4950.0|0|5046.0|0|67.0|0|0.0|100
0|2021-11-24|4954.0|0|5041.0|0|68.0|0|0.0|100
0|2021-11-25|4954.0|0|5041.0|0|68.0|0|0.0|100
0|2021-11-26|4954.0|0|5041.0|0|68.0|0|0.0|100
0|2021-11-27|4954.0|0|5041.0|0|68.0|0|0.0|100
0|2021-11-28|4954.0|0|5041.0|0|68.0|0|0.0|100
0|2021-11-29|4977.0|0|5065.0|0|68.0|0|0.0|100
0|2021-11-30|4999.0|0|5076.0|0|68.0|0|0.0|100
0|2021-12-01|5009.0|0|5092.0|0|69.0|0|0.0|100
0|2021-12-02|5017.0|0|5099.0|0|70.0|0|0.0|100
0|2021-12-03|5029.0|0|5103.0|0|71.0|0|0.0|100
0|2021-12-04|5029.0|0|5103.0|0|71.0|0|0.0|100
0|2021-12-05|5029.0|0|5103.0|0|71.0|0|0.0|100
0|2021-12-06|5032.0|0|5106.0|0|71.0|0|0.0|100
0|2021-12-07|5032.0|0|5110.0|0|72.0|0|0.0|100
0|2021-12-08|5059.0|0|5136.0|0|72.0|0|0.0|100
0|2021-12-09|5069.0|0|5145.0|0|72.0|0|0.0|100
0|2021-12-10|5069.0|0|5145.0|0|72.0|0|0.0|100
0|2021-12-11|5069.0|0|5145.0|0|72.0|0|0.0|100
0|2021-12-12|5069.0|0|5145.0|0|72.0|0|0.0|100
0|2021-12-13|5090.0|0|5166.0|0|72.0|0|0.0|100
0|2021-12-14|5090.0|0|5188.0|0|72.0|0|0.0|100
0|2021-12-15|5113.0|0|5188.0|0|73.0|0|0.0|100
0|2021-12-16|5117.0|0|5191.0|0|73.0|0|0.0|100
0|2021-12-17|5120.0|0|5188.0|0|73.0|0|0.0|100
0|2021-12-18|5120.0|0|5188.0|0|73.0|0|0.0|100
0|2021-12-19|5120.0|0|5188.0|0|73.0|0|0.0|100
0|2021-12-20|5129.0|0|5197.0|0|73.0|0|0.0|100
0|2021-12-21|5152.0|0|5219.0|0|74.0|0|0.0|100
0|2021-12-22|5165.0|0|5234.0|0|74.0|0|0.0|100
0|2021-12-23|5179.0|0|5249.0|0|74.0|0|0.0|100
0|2021-12-24|5179.0|0|5249.0|0|74.0|0|0.0|100
0|2021-12-25|5179.0|0|5249.0|0|74.0|0|0.0|100
0|2021-12-26|5179.0|0|5249.0|0|74.0|0|0.0|100
0|2021-12-27|5190.0|0|5256.0|0|74.0|0|0.0|100
0|2021-12-28|5227.0|0|5289.0|0|74.0|0|0.0|100
0|2021-12-29|5238.0|0|5301.0|0|74.0|0|0.0|100
0|2021-12-30|5255.0|0|5322.0|0|74.0|0|0.0|100
0|2021-12-31|5255.0|0|5322.0|0|74.0|0|0.0|100
0|2022-01-01|5255.0|0|5322.0|0|74.0|0|0.0|100
0|2022-01-02|5255.0|0|5322.0|0|74.0|0|0.0|100
0|2022-01-03|5278.0|0|5349.0|0|74.0|0|0.0|100
0|2022-01-04|5316.0|0|5388.0|0|75.0|0|0.0|100
0|2022-01-05|5365.0|0|5455.0|0|75.0|0|0.0|100
0|2022-01-06|5412.0|0|5503.0|0|75.0|0|0.0|100
0|2022-01-07|5460.0|0|5550.0|0|75.0|0|0.0|100
0|2022-01-08|5460.0|0|5550.0|0|75.0|0|0.0|100
0|2022-01-09|5460.0|0|5550.0|0|75.0|0|0.0|100
0|2022-01-10|5562.0|0|5666.0|0|75.0|0|0.0|100
0|2022-01-11|5724.0|0|5853.0|0|75.0|0|0.0|100
0|2022-01-12|5799.0|0|5960.0|0|76.0|0|0.0|100
0|2022-01-13|5799.0|0|6062.0|0|76.0|0|0.0|100
0|2022-01-14|6019.0|0|6180.0|0|75.0|0|0.0|100
0|2022-01-15|6019.0|0|6180.0|0|75.0|0|0.0|100
0|2022-01-16|6019.0|0|6180.0|0|75.0|0|0.0|100
