|dates|Williamson_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Williamson_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Williamson_Texas_UnitedStates.Male_Total_Population.data|Williamson_Texas_UnitedStates.Male_Total_Population.missing|Williamson_Texas_UnitedStates.Female_Total_Population.data|Williamson_Texas_UnitedStates.Female_Total_Population.missing|Williamson_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Williamson_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-10-18|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-10-19|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-10-20|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-10-21|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-10-22|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-10-23|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-10-24|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-10-25|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-10-26|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-10-27|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-10-28|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-10-29|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-10-30|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-10-31|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-11-01|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-11-02|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-11-03|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-11-04|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-11-05|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-11-06|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-11-07|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-11-08|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-11-09|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-11-10|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-11-11|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-11-12|68988.0|0|279077.0|0|287642.0|0|145276.0|0
0|2021-11-13|68988.0|0|279077.0|0|287642.0|0|145276.0|0
