|dates|Garrard_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Garrard_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Garrard_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Garrard_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Garrard_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Garrard_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Garrard_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Garrard_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2741.0|0|2741.0|0|45.0|0|0.0|100
0|2021-10-18|2757.0|0|2757.0|0|45.0|0|0.0|100
0|2021-10-19|2765.0|0|2765.0|0|46.0|0|0.0|100
0|2021-10-20|2767.0|0|2767.0|0|46.0|0|0.0|100
0|2021-10-21|2773.0|0|2773.0|0|47.0|0|0.0|100
0|2021-10-22|2776.0|0|2776.0|0|47.0|0|0.0|100
0|2021-10-23|2776.0|0|2776.0|0|47.0|0|0.0|100
0|2021-10-24|2776.0|0|2776.0|0|47.0|0|0.0|100
0|2021-10-25|2782.0|0|2782.0|0|47.0|0|0.0|100
0|2021-10-26|2786.0|0|2786.0|0|48.0|0|0.0|100
0|2021-10-27|2793.0|0|2793.0|0|48.0|0|0.0|100
0|2021-10-28|2795.0|0|2795.0|0|48.0|0|0.0|100
0|2021-10-29|2798.0|0|2798.0|0|48.0|0|0.0|100
0|2021-10-30|2798.0|0|2798.0|0|48.0|0|0.0|100
0|2021-10-31|2798.0|0|2798.0|0|48.0|0|0.0|100
0|2021-11-01|2802.0|0|2802.0|0|48.0|0|0.0|100
0|2021-11-02|2804.0|0|2804.0|0|48.0|0|0.0|100
0|2021-11-03|2811.0|0|2811.0|0|49.0|0|0.0|100
0|2021-11-04|2816.0|0|2816.0|0|49.0|0|0.0|100
0|2021-11-05|2824.0|0|2824.0|0|49.0|0|0.0|100
0|2021-11-06|2824.0|0|2824.0|0|49.0|0|0.0|100
0|2021-11-07|2824.0|0|2824.0|0|49.0|0|0.0|100
0|2021-11-08|2829.0|0|2829.0|0|50.0|0|0.0|100
0|2021-11-09|2837.0|0|2837.0|0|50.0|0|0.0|100
0|2021-11-10|2837.0|0|2840.0|0|50.0|0|0.0|100
0|2021-11-11|2840.0|0|2840.0|0|51.0|0|0.0|100
0|2021-11-12|2851.0|0|2851.0|0|51.0|0|0.0|100
0|2021-11-13|2851.0|0|2851.0|0|51.0|0|0.0|100
0|2021-11-14|2851.0|0|2851.0|0|51.0|0|0.0|100
0|2021-11-15|2866.0|0|2866.0|0|51.0|0|0.0|100
0|2021-11-16|2871.0|0|2871.0|0|51.0|0|0.0|100
0|2021-11-17|2877.0|0|2877.0|0|51.0|0|0.0|100
0|2021-11-18|2886.0|0|2886.0|0|51.0|0|0.0|100
0|2021-11-19|2895.0|0|2895.0|0|51.0|0|0.0|100
0|2021-11-20|2895.0|0|2895.0|0|51.0|0|0.0|100
0|2021-11-21|2895.0|0|2895.0|0|51.0|0|0.0|100
0|2021-11-22|2917.0|0|2917.0|0|51.0|0|0.0|100
0|2021-11-23|2923.0|0|2923.0|0|51.0|0|0.0|100
0|2021-11-24|2930.0|0|2930.0|0|51.0|0|0.0|100
0|2021-11-25|2930.0|0|2930.0|0|51.0|0|0.0|100
0|2021-11-26|2930.0|0|2930.0|0|51.0|0|0.0|100
0|2021-11-27|2930.0|0|2930.0|0|51.0|0|0.0|100
0|2021-11-28|2930.0|0|2930.0|0|51.0|0|0.0|100
0|2021-11-29|2942.0|0|2942.0|0|53.0|0|0.0|100
0|2021-11-30|2959.0|0|2959.0|0|53.0|0|0.0|100
