|dates|Grant_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Grant_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Grant_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Grant_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Grant_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Grant_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Grant_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Grant_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1310.0|0|1310.0|0|43.0|0|0.0|100
0|2021-10-18|1310.0|0|1310.0|0|43.0|0|0.0|100
0|2021-10-19|1310.0|0|1316.0|0|43.0|0|0.0|100
0|2021-10-20|1317.0|0|1317.0|0|44.0|0|0.0|100
0|2021-10-21|1321.0|0|1321.0|0|44.0|0|0.0|100
0|2021-10-22|1324.0|0|1324.0|0|44.0|0|0.0|100
0|2021-10-23|1324.0|0|1324.0|0|44.0|0|0.0|100
0|2021-10-24|1324.0|0|1324.0|0|44.0|0|0.0|100
0|2021-10-25|1327.0|0|1327.0|0|44.0|0|0.0|100
0|2021-10-26|1330.0|0|1330.0|0|44.0|0|0.0|100
0|2021-10-27|1333.0|0|1333.0|0|44.0|0|0.0|100
0|2021-10-28|1336.0|0|1336.0|0|44.0|0|0.0|100
0|2021-10-29|1339.0|0|1339.0|0|44.0|0|0.0|100
0|2021-10-30|1339.0|0|1339.0|0|44.0|0|0.0|100
0|2021-10-31|1339.0|0|1339.0|0|44.0|0|0.0|100
0|2021-11-01|1342.0|0|1342.0|0|44.0|0|0.0|100
0|2021-11-02|1346.0|0|1346.0|0|44.0|0|0.0|100
0|2021-11-03|1353.0|0|1353.0|0|44.0|0|0.0|100
0|2021-11-04|1357.0|0|1357.0|0|44.0|0|0.0|100
0|2021-11-05|1362.0|0|1362.0|0|45.0|0|0.0|100
0|2021-11-06|1362.0|0|1362.0|0|45.0|0|0.0|100
0|2021-11-07|1362.0|0|1362.0|0|45.0|0|0.0|100
0|2021-11-08|1365.0|0|1365.0|0|45.0|0|0.0|100
0|2021-11-09|1380.0|0|1380.0|0|45.0|0|0.0|100
0|2021-11-10|1388.0|0|1388.0|0|45.0|0|0.0|100
0|2021-11-11|1388.0|0|1388.0|0|45.0|0|0.0|100
0|2021-11-12|1392.0|0|1392.0|0|45.0|0|0.0|100
0|2021-11-13|1392.0|0|1392.0|0|45.0|0|0.0|100
0|2021-11-14|1392.0|0|1392.0|0|45.0|0|0.0|100
0|2021-11-15|1403.0|0|1403.0|0|46.0|0|0.0|100
0|2021-11-16|1419.0|0|1419.0|0|46.0|0|0.0|100
0|2021-11-17|1421.0|0|1421.0|0|46.0|0|0.0|100
0|2021-11-18|1425.0|0|1425.0|0|46.0|0|0.0|100
0|2021-11-19|1428.0|0|1428.0|0|46.0|0|0.0|100
0|2021-11-20|1428.0|0|1428.0|0|46.0|0|0.0|100
0|2021-11-21|1428.0|0|1428.0|0|46.0|0|0.0|100
0|2021-11-22|1433.0|0|1433.0|0|46.0|0|0.0|100
0|2021-11-23|1444.0|0|1444.0|0|46.0|0|0.0|100
0|2021-11-24|1445.0|0|1445.0|0|46.0|0|0.0|100
0|2021-11-25|1445.0|0|1445.0|0|46.0|0|0.0|100
0|2021-11-26|1445.0|0|1445.0|0|46.0|0|0.0|100
0|2021-11-27|1445.0|0|1445.0|0|46.0|0|0.0|100
0|2021-11-28|1445.0|0|1445.0|0|46.0|0|0.0|100
0|2021-11-29|1450.0|0|1450.0|0|46.0|0|0.0|100
0|2021-11-30|1461.0|0|1461.0|0|46.0|0|0.0|100
0|2021-12-01|1464.0|0|1464.0|0|46.0|0|0.0|100
0|2021-12-02|1467.0|0|1467.0|0|46.0|0|0.0|100
0|2021-12-03|1468.0|0|1468.0|0|46.0|0|0.0|100
0|2021-12-04|1468.0|0|1468.0|0|46.0|0|0.0|100
0|2021-12-05|1468.0|0|1468.0|0|46.0|0|0.0|100
0|2021-12-06|1470.0|0|1470.0|0|46.0|0|0.0|100
0|2021-12-07|1473.0|0|1473.0|0|46.0|0|0.0|100
0|2021-12-08|1476.0|0|1476.0|0|46.0|0|0.0|100
0|2021-12-09|1478.0|0|1478.0|0|46.0|0|0.0|100
0|2021-12-10|1483.0|0|1483.0|0|46.0|0|0.0|100
0|2021-12-11|1483.0|0|1483.0|0|46.0|0|0.0|100
0|2021-12-12|1483.0|0|1483.0|0|46.0|0|0.0|100
0|2021-12-13|1485.0|0|1485.0|0|46.0|0|0.0|100
0|2021-12-14|1485.0|0|1487.0|0|46.0|0|0.0|100
0|2021-12-15|1488.0|0|1488.0|0|46.0|0|0.0|100
0|2021-12-16|1490.0|0|1490.0|0|47.0|0|0.0|100
0|2021-12-17|1493.0|0|1493.0|0|47.0|0|0.0|100
0|2021-12-18|1493.0|0|1493.0|0|47.0|0|0.0|100
0|2021-12-19|1493.0|0|1493.0|0|47.0|0|0.0|100
0|2021-12-20|1502.0|0|1502.0|0|47.0|0|0.0|100
0|2021-12-21|1508.0|0|1508.0|0|47.0|0|0.0|100
0|2021-12-22|1515.0|0|1515.0|0|47.0|0|0.0|100
0|2021-12-23|1521.0|0|1521.0|0|47.0|0|0.0|100
0|2021-12-24|1521.0|0|1521.0|0|47.0|0|0.0|100
0|2021-12-25|1521.0|0|1521.0|0|47.0|0|0.0|100
0|2021-12-26|1521.0|0|1521.0|0|47.0|0|0.0|100
0|2021-12-27|1524.0|0|1524.0|0|47.0|0|0.0|100
0|2021-12-28|1524.0|0|1537.0|0|47.0|0|0.0|100
0|2021-12-29|1540.0|0|1540.0|0|47.0|0|0.0|100
0|2021-12-30|1554.0|0|1554.0|0|47.0|0|0.0|100
0|2021-12-31|1554.0|0|1554.0|0|47.0|0|0.0|100
0|2022-01-01|1554.0|0|1554.0|0|47.0|0|0.0|100
0|2022-01-02|1554.0|0|1554.0|0|47.0|0|0.0|100
0|2022-01-03|1564.0|0|1564.0|0|47.0|0|0.0|100
0|2022-01-04|1591.0|0|1591.0|0|47.0|0|0.0|100
0|2022-01-05|1613.0|0|1613.0|0|47.0|0|0.0|100
0|2022-01-06|1641.0|0|1641.0|0|47.0|0|0.0|100
0|2022-01-07|1666.0|0|1666.0|0|47.0|0|0.0|100
0|2022-01-08|1666.0|0|1666.0|0|47.0|0|0.0|100
0|2022-01-09|1666.0|0|1666.0|0|47.0|0|0.0|100
0|2022-01-10|1683.0|0|1683.0|0|47.0|0|0.0|100
0|2022-01-11|1728.0|0|1728.0|0|47.0|0|0.0|100
0|2022-01-12|1743.0|0|1743.0|0|47.0|0|0.0|100
