|dates|Clayton_Georgia_UnitedStates.JHU_ConfirmedCases.data|Clayton_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Clayton_Georgia_UnitedStates.NYT_ConfirmedCases.data|Clayton_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Clayton_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Clayton_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Clayton_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Clayton_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|38797.0|0|38855.0|0|688.0|0|0.0|100
0|2021-10-18|38870.0|0|38929.0|0|691.0|0|0.0|100
0|2021-10-19|38906.0|0|38965.0|0|692.0|0|0.0|100
0|2021-10-20|38965.0|0|39024.0|0|694.0|0|0.0|100
0|2021-10-21|38995.0|0|39054.0|0|700.0|0|0.0|100
0|2021-10-22|39029.0|0|39088.0|0|705.0|0|0.0|100
0|2021-10-23|39029.0|0|39088.0|0|705.0|0|0.0|100
0|2021-10-24|39029.0|0|39088.0|0|705.0|0|0.0|100
0|2021-10-25|39107.0|0|39167.0|0|707.0|0|0.0|100
0|2021-10-26|39138.0|0|39198.0|0|708.0|0|0.0|100
0|2021-10-27|39171.0|0|39231.0|0|716.0|0|0.0|100
0|2021-10-28|39231.0|0|39291.0|0|719.0|0|0.0|100
0|2021-10-29|39261.0|0|39321.0|0|722.0|0|0.0|100
0|2021-10-30|39261.0|0|39321.0|0|722.0|0|0.0|100
0|2021-10-31|39261.0|0|39321.0|0|722.0|0|0.0|100
0|2021-11-01|39341.0|0|39403.0|0|727.0|0|0.0|100
0|2021-11-02|39379.0|0|39441.0|0|728.0|0|0.0|100
0|2021-11-03|39412.0|0|39474.0|0|733.0|0|0.0|100
0|2021-11-04|39443.0|0|39505.0|0|739.0|0|0.0|100
0|2021-11-05|39504.0|0|39566.0|0|742.0|0|0.0|100
