|dates|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Anderson_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Anderson_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|35853.0|0|35853.0|0|713.0|0|0.0|100
0|2021-10-18|36066.0|0|36066.0|0|716.0|0|0.0|100
0|2021-10-19|36096.0|0|36096.0|0|716.0|0|0.0|100
0|2021-10-20|36144.0|0|36144.0|0|718.0|0|0.0|100
0|2021-10-21|36209.0|0|36209.0|0|720.0|0|0.0|100
0|2021-10-22|36266.0|0|36266.0|0|725.0|0|0.0|100
0|2021-10-23|36266.0|0|36266.0|0|725.0|0|0.0|100
0|2021-10-24|36266.0|0|36266.0|0|725.0|0|0.0|100
0|2021-10-25|36386.0|0|36386.0|0|734.0|0|0.0|100
0|2021-10-26|36410.0|0|36410.0|0|734.0|0|0.0|100
0|2021-10-27|36437.0|0|36437.0|0|736.0|0|0.0|100
0|2021-10-28|36473.0|0|36473.0|0|743.0|0|0.0|100
0|2021-10-29|36570.0|0|36570.0|0|747.0|0|0.0|100
0|2021-10-30|36570.0|0|36570.0|0|747.0|0|0.0|100
0|2021-10-31|36570.0|0|36570.0|0|747.0|0|0.0|100
0|2021-11-01|36692.0|0|36692.0|0|748.0|0|0.0|100
0|2021-11-02|36710.0|0|36710.0|0|748.0|0|0.0|100
0|2021-11-03|36730.0|0|36730.0|0|753.0|0|0.0|100
0|2021-11-04|36762.0|0|36762.0|0|758.0|0|0.0|100
0|2021-11-05|36795.0|0|36795.0|0|760.0|0|0.0|100
0|2021-11-06|36795.0|0|36795.0|0|760.0|0|0.0|100
0|2021-11-07|36795.0|0|36795.0|0|760.0|0|0.0|100
0|2021-11-08|36897.0|0|36897.0|0|765.0|0|0.0|100
0|2021-11-09|36916.0|0|36916.0|0|765.0|0|0.0|100
0|2021-11-10|36916.0|0|36926.0|0|765.0|0|0.0|100
0|2021-11-11|36926.0|0|36926.0|0|765.0|0|0.0|100
0|2021-11-12|37032.0|0|37032.0|0|772.0|0|0.0|100
