|dates|Dakota_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Dakota_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Dakota_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Dakota_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Dakota_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Dakota_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Dakota_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Dakota_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|56158.0|0|56158.0|0|520.0|0|0.0|100
0|2021-10-18|56337.0|0|56337.0|0|523.0|0|0.0|100
0|2021-10-19|56699.0|0|56699.0|0|523.0|0|0.0|100
0|2021-10-20|56799.0|0|56799.0|0|523.0|0|0.0|100
0|2021-10-21|56954.0|0|56954.0|0|525.0|0|0.0|100
0|2021-10-22|57071.0|0|57071.0|0|526.0|0|0.0|100
0|2021-10-23|57071.0|0|57071.0|0|526.0|0|0.0|100
0|2021-10-24|57071.0|0|57071.0|0|526.0|0|0.0|100
0|2021-10-25|57266.0|0|57266.0|0|526.0|0|0.0|100
0|2021-10-26|57663.0|0|57663.0|0|527.0|0|0.0|100
0|2021-10-27|57778.0|0|57778.0|0|529.0|0|0.0|100
0|2021-10-28|57930.0|0|57930.0|0|533.0|0|0.0|100
0|2021-10-29|58163.0|0|58163.0|0|534.0|0|0.0|100
0|2021-10-30|58163.0|0|58163.0|0|534.0|0|0.0|100
0|2021-10-31|58163.0|0|58163.0|0|534.0|0|0.0|100
0|2021-11-01|58895.0|0|58895.0|0|534.0|0|0.0|100
0|2021-11-02|59395.0|0|59395.0|0|535.0|0|0.0|100
0|2021-11-03|59586.0|0|59586.0|0|542.0|0|0.0|100
0|2021-11-04|59801.0|0|59801.0|0|546.0|0|0.0|100
0|2021-11-05|60004.0|0|60004.0|0|550.0|0|0.0|100
0|2021-11-06|60004.0|0|60004.0|0|550.0|0|0.0|100
0|2021-11-07|60004.0|0|60004.0|0|550.0|0|0.0|100
0|2021-11-08|60327.0|0|60327.0|0|554.0|0|0.0|100
0|2021-11-09|60791.0|0|60791.0|0|555.0|0|0.0|100
0|2021-11-10|61163.0|0|61163.0|0|556.0|0|0.0|100
0|2021-11-11|61538.0|0|61538.0|0|557.0|0|0.0|100
0|2021-11-12|61869.0|0|61869.0|0|558.0|0|0.0|100
0|2021-11-13|61869.0|0|61869.0|0|558.0|0|0.0|100
0|2021-11-14|61869.0|0|61869.0|0|558.0|0|0.0|100
0|2021-11-15|62203.0|0|62203.0|0|558.0|0|0.0|100
0|2021-11-16|62978.0|0|62978.0|0|559.0|0|0.0|100
0|2021-11-17|63247.0|0|63247.0|0|560.0|0|0.0|100
0|2021-11-18|63624.0|0|63624.0|0|560.0|0|0.0|100
0|2021-11-19|64054.0|0|64054.0|0|561.0|0|0.0|100
0|2021-11-20|64054.0|0|64054.0|0|561.0|0|0.0|100
0|2021-11-21|64054.0|0|64054.0|0|561.0|0|0.0|100
0|2021-11-22|64444.0|0|64444.0|0|563.0|0|0.0|100
0|2021-11-23|65275.0|0|65275.0|0|564.0|0|0.0|100
0|2021-11-24|65596.0|0|65596.0|0|566.0|0|0.0|100
0|2021-11-25|65596.0|0|65596.0|0|566.0|0|0.0|100
0|2021-11-26|66032.0|0|66032.0|0|572.0|0|0.0|100
0|2021-11-27|66032.0|0|66032.0|0|572.0|0|0.0|100
0|2021-11-28|66032.0|0|66032.0|0|572.0|0|0.0|100
0|2021-11-29|66342.0|0|66342.0|0|574.0|0|0.0|100
0|2021-11-30|67355.0|0|67355.0|0|574.0|0|0.0|100
0|2021-12-01|67683.0|0|67683.0|0|587.0|0|0.0|100
0|2021-12-02|68081.0|0|68081.0|0|589.0|0|0.0|100
0|2021-12-03|68505.0|0|68505.0|0|591.0|0|0.0|100
