|dates|Greene_Georgia_UnitedStates.JHU_ConfirmedCases.data|Greene_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Greene_Georgia_UnitedStates.NYT_ConfirmedCases.data|Greene_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Greene_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Greene_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2664.0|0|2674.0|0|69.0|0|0.0|100
0|2021-10-18|2672.0|0|2682.0|0|69.0|0|0.0|100
0|2021-10-19|2678.0|0|2688.0|0|69.0|0|0.0|100
0|2021-10-20|2682.0|0|2692.0|0|69.0|0|0.0|100
0|2021-10-21|2684.0|0|2694.0|0|69.0|0|0.0|100
0|2021-10-22|2684.0|0|2694.0|0|70.0|0|0.0|100
0|2021-10-23|2684.0|0|2694.0|0|70.0|0|0.0|100
0|2021-10-24|2684.0|0|2694.0|0|70.0|0|0.0|100
0|2021-10-25|2696.0|0|2707.0|0|70.0|0|0.0|100
0|2021-10-26|2700.0|0|2711.0|0|70.0|0|0.0|100
0|2021-10-27|2702.0|0|2713.0|0|70.0|0|0.0|100
0|2021-10-28|2703.0|0|2714.0|0|70.0|0|0.0|100
0|2021-10-29|2706.0|0|2717.0|0|70.0|0|0.0|100
0|2021-10-30|2706.0|0|2717.0|0|70.0|0|0.0|100
0|2021-10-31|2706.0|0|2717.0|0|70.0|0|0.0|100
0|2021-11-01|2714.0|0|2726.0|0|70.0|0|0.0|100
0|2021-11-02|2718.0|0|2730.0|0|70.0|0|0.0|100
0|2021-11-03|2721.0|0|2733.0|0|70.0|0|0.0|100
0|2021-11-04|2723.0|0|2735.0|0|72.0|0|0.0|100
0|2021-11-05|2723.0|0|2735.0|0|73.0|0|0.0|100
0|2021-11-06|2723.0|0|2735.0|0|73.0|0|0.0|100
0|2021-11-07|2723.0|0|2735.0|0|73.0|0|0.0|100
0|2021-11-08|2723.0|0|2735.0|0|73.0|0|0.0|100
