|dates|Tippecanoe_Indiana_UnitedStates.BLS_EmployedPopulation.data|Tippecanoe_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Tippecanoe_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Tippecanoe_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Tippecanoe_Indiana_UnitedStates.BLS_UnemploymentRate.data|Tippecanoe_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Tippecanoe_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Tippecanoe_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-10-18|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-10-19|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-10-20|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-10-21|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-10-22|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-10-23|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-10-24|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-10-25|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-10-26|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-10-27|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-10-28|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-10-29|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-10-30|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-10-31|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-01|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-02|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-03|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-04|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-05|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-06|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-07|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-08|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-09|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-10|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-11|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-12|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-13|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-14|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-15|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-16|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-17|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-18|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-19|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-20|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-21|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-22|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-23|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-24|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-25|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-26|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-27|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-28|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-29|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-11-30|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-01|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-02|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-03|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-04|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-05|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-06|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-07|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-08|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-09|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-10|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-11|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-12|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-13|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-14|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-15|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-16|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-17|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-18|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-19|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-20|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-21|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-22|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-23|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-24|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-25|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-26|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-27|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-28|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-29|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-30|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2021-12-31|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2022-01-01|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2022-01-02|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2022-01-03|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2022-01-04|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2022-01-05|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2022-01-06|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2022-01-07|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
0|2022-01-08|89185.0|0|3879.0|0|4.168099372474856|0|93064.0|0
