|dates|Logan_Ohio_UnitedStates.JHU_ConfirmedCases.data|Logan_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Logan_Ohio_UnitedStates.NYT_ConfirmedCases.data|Logan_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Logan_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Logan_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Logan_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Logan_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5710.0|0|5710.0|0|98.0|0|0.0|100
0|2021-10-18|5746.0|0|5746.0|0|98.0|0|0.0|100
0|2021-10-19|5763.0|0|5763.0|0|98.0|0|0.0|100
0|2021-10-20|5801.0|0|5801.0|0|99.0|0|0.0|100
0|2021-10-21|5827.0|0|5827.0|0|100.0|0|0.0|100
0|2021-10-22|5879.0|0|5879.0|0|101.0|0|0.0|100
0|2021-10-23|5910.0|0|5910.0|0|101.0|0|0.0|100
0|2021-10-24|5922.0|0|5922.0|0|101.0|0|0.0|100
0|2021-10-25|5945.0|0|5945.0|0|101.0|0|0.0|100
0|2021-10-26|5972.0|0|5972.0|0|101.0|0|0.0|100
0|2021-10-27|6000.0|0|6000.0|0|101.0|0|0.0|100
0|2021-10-28|6033.0|0|6033.0|0|101.0|0|0.0|100
0|2021-10-29|6065.0|0|6065.0|0|102.0|0|0.0|100
0|2021-10-30|6082.0|0|6082.0|0|102.0|0|0.0|100
0|2021-10-31|6091.0|0|6091.0|0|103.0|0|0.0|100
0|2021-11-01|6118.0|0|6118.0|0|103.0|0|0.0|100
0|2021-11-02|6147.0|0|6147.0|0|103.0|0|0.0|100
0|2021-11-03|6182.0|0|6182.0|0|103.0|0|0.0|100
0|2021-11-04|6204.0|0|6204.0|0|103.0|0|0.0|100
0|2021-11-05|6231.0|0|6231.0|0|103.0|0|0.0|100
0|2021-11-06|6246.0|0|6246.0|0|103.0|0|0.0|100
0|2021-11-07|6270.0|0|6270.0|0|103.0|0|0.0|100
0|2021-11-08|6280.0|0|6280.0|0|103.0|0|0.0|100
0|2021-11-09|6315.0|0|6315.0|0|103.0|0|0.0|100
0|2021-11-10|6366.0|0|6366.0|0|103.0|0|0.0|100
0|2021-11-11|6403.0|0|6403.0|0|103.0|0|0.0|100
0|2021-11-12|6428.0|0|6428.0|0|104.0|0|0.0|100
0|2021-11-13|6470.0|0|6470.0|0|104.0|0|0.0|100
0|2021-11-14|6488.0|0|6488.0|0|104.0|0|0.0|100
0|2021-11-15|6509.0|0|6509.0|0|104.0|0|0.0|100
0|2021-11-16|6536.0|0|6536.0|0|104.0|0|0.0|100
0|2021-11-17|6557.0|0|6557.0|0|104.0|0|0.0|100
0|2021-11-18|6593.0|0|6593.0|0|104.0|0|0.0|100
0|2021-11-19|6627.0|0|6627.0|0|106.0|0|0.0|100
0|2021-11-20|6667.0|0|6667.0|0|106.0|0|0.0|100
0|2021-11-21|6691.0|0|6691.0|0|106.0|0|0.0|100
