|dates|Jefferson_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Jefferson_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Jefferson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|117371.0|0|117371.0|0|1556.0|0|0.0|100
0|2021-10-18|117991.0|0|117991.0|0|1557.0|0|0.0|100
0|2021-10-19|118162.0|0|118162.0|0|1557.0|0|0.0|100
0|2021-10-20|118438.0|0|118438.0|0|1558.0|0|0.0|100
0|2021-10-21|118682.0|0|118682.0|0|1562.0|0|0.0|100
0|2021-10-22|118916.0|0|118916.0|0|1564.0|0|0.0|100
0|2021-10-23|118916.0|0|118916.0|0|1564.0|0|0.0|100
0|2021-10-24|118916.0|0|118916.0|0|1564.0|0|0.0|100
0|2021-10-25|119384.0|0|119384.0|0|1565.0|0|0.0|100
0|2021-10-26|119580.0|0|119580.0|0|1567.0|0|0.0|100
0|2021-10-27|119814.0|0|119814.0|0|1567.0|0|0.0|100
0|2021-10-28|120047.0|0|120047.0|0|1569.0|0|0.0|100
0|2021-10-29|120254.0|0|120254.0|0|1569.0|0|0.0|100
0|2021-10-30|120254.0|0|120254.0|0|1569.0|0|0.0|100
0|2021-10-31|120254.0|0|120254.0|0|1569.0|0|0.0|100
0|2021-11-01|120597.0|0|120597.0|0|1573.0|0|0.0|100
0|2021-11-02|120761.0|0|120761.0|0|1581.0|0|0.0|100
0|2021-11-03|121016.0|0|121016.0|0|1583.0|0|0.0|100
0|2021-11-04|121270.0|0|121270.0|0|1586.0|0|0.0|100
0|2021-11-05|121482.0|0|121482.0|0|1588.0|0|0.0|100
0|2021-11-06|121482.0|0|121482.0|0|1588.0|0|0.0|100
0|2021-11-07|121482.0|0|121482.0|0|1588.0|0|0.0|100
0|2021-11-08|121817.0|0|121817.0|0|1593.0|0|0.0|100
0|2021-11-09|122028.0|0|122028.0|0|1597.0|0|0.0|100
0|2021-11-10|122028.0|0|122299.0|0|1597.0|0|0.0|100
0|2021-11-11|122299.0|0|122299.0|0|1602.0|0|0.0|100
0|2021-11-12|122722.0|0|122722.0|0|1619.0|0|0.0|100
0|2021-11-13|122722.0|0|122722.0|0|1619.0|0|0.0|100
0|2021-11-14|122722.0|0|122722.0|0|1619.0|0|0.0|100
0|2021-11-15|123144.0|0|123144.0|0|1635.0|0|0.0|100
0|2021-11-16|123314.0|0|123314.0|0|1642.0|0|0.0|100
0|2021-11-17|123565.0|0|123565.0|0|1646.0|0|0.0|100
0|2021-11-18|123769.0|0|123769.0|0|1650.0|0|0.0|100
0|2021-11-19|123978.0|0|123978.0|0|1674.0|0|0.0|100
0|2021-11-20|123978.0|0|123978.0|0|1674.0|0|0.0|100
0|2021-11-21|123978.0|0|123978.0|0|1674.0|0|0.0|100
0|2021-11-22|124525.0|0|124525.0|0|1684.0|0|0.0|100
0|2021-11-23|124767.0|0|124767.0|0|1686.0|0|0.0|100
0|2021-11-24|125037.0|0|125037.0|0|1687.0|0|0.0|100
0|2021-11-25|125037.0|0|125037.0|0|1687.0|0|0.0|100
0|2021-11-26|125037.0|0|125037.0|0|1687.0|0|0.0|100
0|2021-11-27|125037.0|0|125037.0|0|1687.0|0|0.0|100
0|2021-11-28|125037.0|0|125037.0|0|1687.0|0|0.0|100
0|2021-11-29|125889.0|0|125889.0|0|1699.0|0|0.0|100
0|2021-11-30|126179.0|0|126179.0|0|1701.0|0|0.0|100
0|2021-12-01|126576.0|0|126576.0|0|1705.0|0|0.0|100
0|2021-12-02|126576.0|0|126910.0|0|1705.0|0|0.0|100
0|2021-12-03|127307.0|0|127307.0|0|1710.0|0|0.0|100
0|2021-12-04|127307.0|0|127307.0|0|1710.0|0|0.0|100
0|2021-12-05|127307.0|0|127307.0|0|1710.0|0|0.0|100
