|dates|Pike_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Pike_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Pike_Pennsylvania_UnitedStates.Male_Total_Population.data|Pike_Pennsylvania_UnitedStates.Male_Total_Population.missing|Pike_Pennsylvania_UnitedStates.Female_Total_Population.data|Pike_Pennsylvania_UnitedStates.Female_Total_Population.missing|Pike_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Pike_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-10-18|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-10-19|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-10-20|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-10-21|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-10-22|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-10-23|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-10-24|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-10-25|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-10-26|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-10-27|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-10-28|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-10-29|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-10-30|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-10-31|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-01|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-02|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-03|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-04|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-05|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-06|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-07|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-08|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-09|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-10|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-11|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-12|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-13|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-14|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-15|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-16|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-17|12741.0|0|28368.0|0|27565.0|0|10041.0|0
0|2021-11-18|12741.0|0|28368.0|0|27565.0|0|10041.0|0
