|dates|Stearns_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Stearns_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Stearns_Minnesota_UnitedStates.Male_Total_Population.data|Stearns_Minnesota_UnitedStates.Male_Total_Population.missing|Stearns_Minnesota_UnitedStates.Female_Total_Population.data|Stearns_Minnesota_UnitedStates.Female_Total_Population.missing|Stearns_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.data|Stearns_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-10-18|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-10-19|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-10-20|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-10-21|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-10-22|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-10-23|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-10-24|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-10-25|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-10-26|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-10-27|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-10-28|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-10-29|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-10-30|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-10-31|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-01|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-02|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-03|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-04|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-05|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-06|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-07|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-08|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-09|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-10|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-11|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-12|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-13|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-14|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-15|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-16|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-17|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-18|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-19|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-20|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-21|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-22|24079.0|0|80406.0|0|78850.0|0|36701.0|0
0|2021-11-23|24079.0|0|80406.0|0|78850.0|0|36701.0|0
