|dates|Marion_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Marion_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Marion_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Marion_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Marion_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Marion_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4216.0|0|4216.0|0|107.0|0|0.0|100
0|2021-10-18|4222.0|0|4222.0|0|107.0|0|0.0|100
0|2021-10-19|4222.0|0|4222.0|0|107.0|0|0.0|100
0|2021-10-20|4225.0|0|4225.0|0|107.0|0|0.0|100
0|2021-10-21|4225.0|0|4225.0|0|108.0|0|0.0|100
0|2021-10-22|4226.0|0|4226.0|0|108.0|0|0.0|100
0|2021-10-23|4226.0|0|4226.0|0|108.0|0|0.0|100
0|2021-10-24|4226.0|0|4226.0|0|108.0|0|0.0|100
0|2021-10-25|4232.0|0|4232.0|0|108.0|0|0.0|100
0|2021-10-26|4236.0|0|4236.0|0|108.0|0|0.0|100
0|2021-10-27|4236.0|0|4236.0|0|108.0|0|0.0|100
0|2021-10-28|4238.0|0|4238.0|0|108.0|0|0.0|100
0|2021-10-29|4239.0|0|4239.0|0|108.0|0|0.0|100
0|2021-10-30|4239.0|0|4239.0|0|108.0|0|0.0|100
0|2021-10-31|4239.0|0|4239.0|0|108.0|0|0.0|100
0|2021-11-01|4239.0|0|4239.0|0|108.0|0|0.0|100
0|2021-11-02|4239.0|0|4239.0|0|108.0|0|0.0|100
0|2021-11-03|4242.0|0|4242.0|0|108.0|0|0.0|100
0|2021-11-04|4244.0|0|4244.0|0|108.0|0|0.0|100
0|2021-11-05|4244.0|0|4244.0|0|108.0|0|0.0|100
0|2021-11-06|4244.0|0|4244.0|0|108.0|0|0.0|100
0|2021-11-07|4244.0|0|4244.0|0|108.0|0|0.0|100
0|2021-11-08|4245.0|0|4245.0|0|108.0|0|0.0|100
0|2021-11-09|4246.0|0|4246.0|0|108.0|0|0.0|100
0|2021-11-10|4246.0|0|4248.0|0|108.0|0|0.0|100
0|2021-11-11|4248.0|0|4248.0|0|109.0|0|0.0|100
0|2021-11-12|4252.0|0|4252.0|0|109.0|0|0.0|100
0|2021-11-13|4252.0|0|4252.0|0|109.0|0|0.0|100
0|2021-11-14|4252.0|0|4252.0|0|109.0|0|0.0|100
0|2021-11-15|4254.0|0|4254.0|0|109.0|0|0.0|100
0|2021-11-16|4254.0|0|4254.0|0|110.0|0|0.0|100
0|2021-11-17|4254.0|0|4254.0|0|111.0|0|0.0|100
0|2021-11-18|4256.0|0|4256.0|0|111.0|0|0.0|100
0|2021-11-19|4257.0|0|4257.0|0|112.0|0|0.0|100
0|2021-11-20|4257.0|0|4257.0|0|112.0|0|0.0|100
