|dates|Will_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Will_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Will_Illinois_UnitedStates.Male_Total_Population.data|Will_Illinois_UnitedStates.Male_Total_Population.missing|Will_Illinois_UnitedStates.Female_Total_Population.data|Will_Illinois_UnitedStates.Female_Total_Population.missing|Will_Illinois_UnitedStates.MaleAndFemale_Under18_Population.data|Will_Illinois_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-10-18|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-10-19|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-10-20|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-10-21|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-10-22|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-10-23|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-10-24|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-10-25|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-10-26|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-10-27|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-10-28|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-10-29|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-10-30|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-10-31|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-01|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-02|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-03|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-04|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-05|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-06|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-07|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-08|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-09|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-10|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-11|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-12|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-13|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-14|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-15|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-16|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-17|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-18|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-19|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-20|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-21|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-22|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-23|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-24|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-25|90406.0|0|343551.0|0|348759.0|0|172143.0|0
0|2021-11-26|90406.0|0|343551.0|0|348759.0|0|172143.0|0
