|dates|Harding_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Harding_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Harding_NewMexico_UnitedStates.Male_Total_Population.data|Harding_NewMexico_UnitedStates.Male_Total_Population.missing|Harding_NewMexico_UnitedStates.Female_Total_Population.data|Harding_NewMexico_UnitedStates.Female_Total_Population.missing|Harding_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.data|Harding_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-10-18|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-10-19|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-10-20|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-10-21|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-10-22|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-10-23|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-10-24|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-10-25|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-10-26|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-10-27|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-10-28|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-10-29|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-10-30|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-10-31|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-01|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-02|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-03|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-04|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-05|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-06|247.0|0|335.0|0|320.0|0|80.0|0
0|2021-11-07|247.0|0|335.0|0|320.0|0|80.0|0
