|dates|Summit_Utah_UnitedStates.JHU_ConfirmedCases.data|Summit_Utah_UnitedStates.JHU_ConfirmedCases.missing|Summit_Utah_UnitedStates.NYT_ConfirmedCases.data|Summit_Utah_UnitedStates.NYT_ConfirmedCases.missing|Summit_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Summit_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Summit_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Summit_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6625.0|0|6625.0|0|18.0|0|0.0|100
0|2021-10-18|6652.0|0|6652.0|0|18.0|0|0.0|100
0|2021-10-19|6660.0|0|6660.0|0|18.0|0|0.0|100
0|2021-10-20|6672.0|0|6672.0|0|18.0|0|0.0|100
0|2021-10-21|6686.0|0|6686.0|0|18.0|0|0.0|100
0|2021-10-22|6696.0|0|6696.0|0|18.0|0|0.0|100
0|2021-10-23|6696.0|0|6696.0|0|18.0|0|0.0|100
0|2021-10-24|6696.0|0|6696.0|0|18.0|0|0.0|100
0|2021-10-25|6731.0|0|6731.0|0|18.0|0|0.0|100
0|2021-10-26|6753.0|0|6753.0|0|18.0|0|0.0|100
0|2021-10-27|6771.0|0|6771.0|0|18.0|0|0.0|100
0|2021-10-28|6786.0|0|6786.0|0|18.0|0|0.0|100
0|2021-10-29|6808.0|0|6808.0|0|18.0|0|0.0|100
0|2021-10-30|6808.0|0|6808.0|0|18.0|0|0.0|100
0|2021-10-31|6808.0|0|6808.0|0|18.0|0|0.0|100
0|2021-11-01|6874.0|0|6874.0|0|18.0|0|0.0|100
0|2021-11-02|6893.0|0|6893.0|0|18.0|0|0.0|100
0|2021-11-03|6908.0|0|6908.0|0|19.0|0|0.0|100
0|2021-11-04|6925.0|0|6925.0|0|19.0|0|0.0|100
0|2021-11-05|6966.0|0|6966.0|0|19.0|0|0.0|100
0|2021-11-06|6966.0|0|6966.0|0|19.0|0|0.0|100
0|2021-11-07|6966.0|0|6966.0|0|19.0|0|0.0|100
0|2021-11-08|7052.0|0|7052.0|0|19.0|0|0.0|100
0|2021-11-09|7090.0|0|7090.0|0|19.0|0|0.0|100
0|2021-11-10|7126.0|0|7126.0|0|19.0|0|0.0|100
0|2021-11-11|7126.0|0|7126.0|0|19.0|0|0.0|100
0|2021-11-12|7178.0|0|7178.0|0|19.0|0|0.0|100
0|2021-11-13|7178.0|0|7178.0|0|19.0|0|0.0|100
0|2021-11-14|7178.0|0|7178.0|0|19.0|0|0.0|100
0|2021-11-15|7224.0|0|7224.0|0|19.0|0|0.0|100
0|2021-11-16|7257.0|0|7257.0|0|19.0|0|0.0|100
0|2021-11-17|7277.0|0|7277.0|0|19.0|0|0.0|100
0|2021-11-18|7293.0|0|7293.0|0|19.0|0|0.0|100
0|2021-11-19|7322.0|0|7322.0|0|19.0|0|0.0|100
0|2021-11-20|7322.0|0|7322.0|0|19.0|0|0.0|100
0|2021-11-21|7322.0|0|7322.0|0|19.0|0|0.0|100
0|2021-11-22|7377.0|0|7377.0|0|19.0|0|0.0|100
0|2021-11-23|7410.0|0|7410.0|0|19.0|0|0.0|100
0|2021-11-24|7434.0|0|7434.0|0|19.0|0|0.0|100
0|2021-11-25|7434.0|0|7434.0|0|19.0|0|0.0|100
0|2021-11-26|7460.0|0|7460.0|0|19.0|0|0.0|100
0|2021-11-27|7460.0|0|7460.0|0|19.0|0|0.0|100
0|2021-11-28|7460.0|0|7460.0|0|19.0|0|0.0|100
0|2021-11-29|7487.0|0|7487.0|0|19.0|0|0.0|100
0|2021-11-30|7509.0|0|7509.0|0|19.0|0|0.0|100
0|2021-12-01|7523.0|0|7523.0|0|19.0|0|0.0|100
0|2021-12-02|7543.0|0|7543.0|0|19.0|0|0.0|100
0|2021-12-03|7564.0|0|7564.0|0|19.0|0|0.0|100
0|2021-12-04|7564.0|0|7564.0|0|19.0|0|0.0|100
0|2021-12-05|7564.0|0|7564.0|0|19.0|0|0.0|100
0|2021-12-06|7582.0|0|7582.0|0|19.0|0|0.0|100
0|2021-12-07|7591.0|0|7591.0|0|19.0|0|0.0|100
0|2021-12-08|7612.0|0|7612.0|0|19.0|0|0.0|100
0|2021-12-09|7623.0|0|7623.0|0|19.0|0|0.0|100
0|2021-12-10|7639.0|0|7639.0|0|19.0|0|0.0|100
0|2021-12-11|7639.0|0|7639.0|0|19.0|0|0.0|100
0|2021-12-12|7639.0|0|7639.0|0|19.0|0|0.0|100
0|2021-12-13|7652.0|0|7652.0|0|19.0|0|0.0|100
0|2021-12-14|7652.0|0|7658.0|0|19.0|0|0.0|100
0|2021-12-15|7674.0|0|7674.0|0|19.0|0|0.0|100
0|2021-12-16|7685.0|0|7685.0|0|19.0|0|0.0|100
0|2021-12-17|7704.0|0|7704.0|0|19.0|0|0.0|100
0|2021-12-18|7704.0|0|7704.0|0|19.0|0|0.0|100
0|2021-12-19|7704.0|0|7704.0|0|19.0|0|0.0|100
0|2021-12-20|7763.0|0|7763.0|0|19.0|0|0.0|100
0|2021-12-21|7784.0|0|7784.0|0|19.0|0|0.0|100
0|2021-12-22|7823.0|0|7823.0|0|19.0|0|0.0|100
0|2021-12-23|7866.0|0|7866.0|0|19.0|0|0.0|100
0|2021-12-24|7866.0|0|7866.0|0|19.0|0|0.0|100
0|2021-12-25|7866.0|0|7866.0|0|19.0|0|0.0|100
0|2021-12-26|7866.0|0|7866.0|0|19.0|0|0.0|100
0|2021-12-27|8154.0|0|8154.0|0|19.0|0|0.0|100
0|2021-12-28|8293.0|0|8293.0|0|19.0|0|0.0|100
0|2021-12-29|8437.0|0|8437.0|0|19.0|0|0.0|100
0|2021-12-30|8553.0|0|8553.0|0|19.0|0|0.0|100
0|2021-12-31|8553.0|0|8553.0|0|19.0|0|0.0|100
0|2022-01-01|8553.0|0|8553.0|0|19.0|0|0.0|100
