|dates|Turner_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Turner_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Turner_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Turner_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Turner_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Turner_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Turner_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Turner_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1308.0|0|1308.0|0|60.0|0|0.0|100
0|2021-10-18|1308.0|0|1310.0|0|60.0|0|0.0|100
0|2021-10-19|1308.0|0|1310.0|0|60.0|0|0.0|100
0|2021-10-20|1315.0|0|1315.0|0|61.0|0|0.0|100
0|2021-10-21|1317.0|0|1317.0|0|61.0|0|0.0|100
0|2021-10-22|1318.0|0|1318.0|0|61.0|0|0.0|100
0|2021-10-23|1318.0|0|1318.0|0|61.0|0|0.0|100
0|2021-10-24|1318.0|0|1318.0|0|61.0|0|0.0|100
0|2021-10-25|1321.0|0|1321.0|0|61.0|0|0.0|100
0|2021-10-26|1327.0|0|1327.0|0|61.0|0|0.0|100
0|2021-10-27|1331.0|0|1331.0|0|61.0|0|0.0|100
0|2021-10-28|1332.0|0|1332.0|0|61.0|0|0.0|100
0|2021-10-29|1335.0|0|1335.0|0|61.0|0|0.0|100
0|2021-10-30|1335.0|0|1335.0|0|61.0|0|0.0|100
0|2021-10-31|1335.0|0|1335.0|0|61.0|0|0.0|100
0|2021-11-01|1338.0|0|1338.0|0|61.0|0|0.0|100
0|2021-11-02|1339.0|0|1339.0|0|61.0|0|0.0|100
0|2021-11-03|1347.0|0|1347.0|0|61.0|0|0.0|100
0|2021-11-04|1350.0|0|1350.0|0|61.0|0|0.0|100
0|2021-11-05|1354.0|0|1354.0|0|61.0|0|0.0|100
0|2021-11-06|1354.0|0|1354.0|0|61.0|0|0.0|100
0|2021-11-07|1354.0|0|1354.0|0|61.0|0|0.0|100
0|2021-11-08|1360.0|0|1360.0|0|61.0|0|0.0|100
0|2021-11-09|1366.0|0|1366.0|0|61.0|0|0.0|100
0|2021-11-10|1366.0|0|1368.0|0|61.0|0|0.0|100
0|2021-11-11|1368.0|0|1368.0|0|61.0|0|0.0|100
0|2021-11-12|1369.0|0|1369.0|0|61.0|0|0.0|100
0|2021-11-13|1369.0|0|1369.0|0|61.0|0|0.0|100
0|2021-11-14|1369.0|0|1369.0|0|61.0|0|0.0|100
0|2021-11-15|1377.0|0|1377.0|0|61.0|0|0.0|100
0|2021-11-16|1385.0|0|1385.0|0|61.0|0|0.0|100
0|2021-11-17|1390.0|0|1390.0|0|61.0|0|0.0|100
0|2021-11-18|1391.0|0|1391.0|0|61.0|0|0.0|100
0|2021-11-19|1391.0|0|1391.0|0|61.0|0|0.0|100
0|2021-11-20|1391.0|0|1391.0|0|61.0|0|0.0|100
0|2021-11-21|1391.0|0|1391.0|0|61.0|0|0.0|100
0|2021-11-22|1398.0|0|1398.0|0|61.0|0|0.0|100
0|2021-11-23|1406.0|0|1406.0|0|61.0|0|0.0|100
0|2021-11-24|1411.0|0|1411.0|0|61.0|0|0.0|100
0|2021-11-25|1411.0|0|1411.0|0|61.0|0|0.0|100
0|2021-11-26|1411.0|0|1411.0|0|61.0|0|0.0|100
0|2021-11-27|1411.0|0|1411.0|0|61.0|0|0.0|100
0|2021-11-28|1411.0|0|1411.0|0|61.0|0|0.0|100
0|2021-11-29|1417.0|0|1417.0|0|61.0|0|0.0|100
