|dates|Kootenai_Idaho_UnitedStates.JHU_ConfirmedCases.data|Kootenai_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Kootenai_Idaho_UnitedStates.NYT_ConfirmedCases.data|Kootenai_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Kootenai_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Kootenai_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Kootenai_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Kootenai_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|27126.0|0|27126.0|0|356.0|0|0.0|100
0|2021-10-18|27246.0|0|27246.0|0|365.0|0|0.0|100
0|2021-10-19|27490.0|0|27490.0|0|367.0|0|0.0|100
0|2021-10-20|27695.0|0|27695.0|0|368.0|0|0.0|100
0|2021-10-21|27878.0|0|27878.0|0|368.0|0|0.0|100
0|2021-10-22|28143.0|0|28143.0|0|372.0|0|0.0|100
0|2021-10-23|28244.0|0|28244.0|0|372.0|0|0.0|100
0|2021-10-24|28233.0|0|28233.0|0|372.0|0|0.0|100
0|2021-10-25|28371.0|0|28371.0|0|377.0|0|0.0|100
0|2021-10-26|28565.0|0|28565.0|0|384.0|0|0.0|100
0|2021-10-27|28703.0|0|28703.0|0|384.0|0|0.0|100
0|2021-10-28|28829.0|0|28829.0|0|384.0|0|0.0|100
0|2021-10-29|28942.0|0|28942.0|0|384.0|0|0.0|100
0|2021-10-30|29020.0|0|29020.0|0|384.0|0|0.0|100
0|2021-10-31|29004.0|0|29004.0|0|384.0|0|0.0|100
0|2021-11-01|29090.0|0|29090.0|0|401.0|0|0.0|100
0|2021-11-02|29181.0|0|29181.0|0|401.0|0|0.0|100
0|2021-11-03|29360.0|0|29360.0|0|403.0|0|0.0|100
0|2021-11-04|29465.0|0|29465.0|0|408.0|0|0.0|100
0|2021-11-05|29645.0|0|29645.0|0|408.0|0|0.0|100
0|2021-11-06|29690.0|0|29690.0|0|408.0|0|0.0|100
0|2021-11-07|29690.0|0|29690.0|0|408.0|0|0.0|100
0|2021-11-08|29736.0|0|29736.0|0|412.0|0|0.0|100
0|2021-11-09|29866.0|0|29866.0|0|412.0|0|0.0|100
0|2021-11-10|29936.0|0|29936.0|0|417.0|0|0.0|100
0|2021-11-11|29936.0|0|29936.0|0|417.0|0|0.0|100
0|2021-11-12|30015.0|0|29936.0|0|418.0|0|0.0|100
0|2021-11-13|30043.0|0|30015.0|0|418.0|0|0.0|100
0|2021-11-14|30043.0|0|30043.0|0|418.0|0|0.0|100
0|2021-11-15|30103.0|0|30103.0|0|420.0|0|0.0|100
0|2021-11-16|30167.0|0|30167.0|0|427.0|0|0.0|100
0|2021-11-17|30261.0|0|30261.0|0|429.0|0|0.0|100
0|2021-11-18|30324.0|0|30324.0|0|434.0|0|0.0|100
0|2021-11-19|30439.0|0|30324.0|0|435.0|0|0.0|100
0|2021-11-20|30457.0|0|30457.0|0|435.0|0|0.0|100
0|2021-11-21|30457.0|0|30457.0|0|435.0|0|0.0|100
0|2021-11-22|30508.0|0|30508.0|0|437.0|0|0.0|100
0|2021-11-23|30595.0|0|30595.0|0|438.0|0|0.0|100
0|2021-11-24|30654.0|0|30654.0|0|438.0|0|0.0|100
0|2021-11-25|30654.0|0|30654.0|0|438.0|0|0.0|100
0|2021-11-26|30708.0|0|30708.0|0|438.0|0|0.0|100
0|2021-11-27|30742.0|0|30742.0|0|438.0|0|0.0|100
0|2021-11-28|30742.0|0|30742.0|0|438.0|0|0.0|100
0|2021-11-29|30767.0|0|30767.0|0|446.0|0|0.0|100
0|2021-11-30|30876.0|0|30876.0|0|446.0|0|0.0|100
0|2021-12-01|30945.0|0|30945.0|0|448.0|0|0.0|100
0|2021-12-02|31018.0|0|31018.0|0|448.0|0|0.0|100
0|2021-12-03|31072.0|0|31018.0|0|448.0|0|0.0|100
0|2021-12-04|31094.0|0|31094.0|0|448.0|0|0.0|100
0|2021-12-05|31094.0|0|31094.0|0|448.0|0|0.0|100
0|2021-12-06|31150.0|0|31150.0|0|449.0|0|0.0|100
0|2021-12-07|31228.0|0|31228.0|0|457.0|0|0.0|100
0|2021-12-08|31285.0|0|31285.0|0|457.0|0|0.0|100
0|2021-12-09|31334.0|0|31334.0|0|459.0|0|0.0|100
0|2021-12-10|31378.0|0|31378.0|0|461.0|0|0.0|100
0|2021-12-11|31406.0|0|31406.0|0|461.0|0|0.0|100
0|2021-12-12|31406.0|0|31406.0|0|461.0|0|0.0|100
0|2021-12-13|31430.0|0|31430.0|0|461.0|0|0.0|100
0|2021-12-14|31430.0|0|31478.0|0|461.0|0|0.0|100
0|2021-12-15|31509.0|0|31509.0|0|472.0|0|0.0|100
0|2021-12-16|31602.0|0|31602.0|0|472.0|0|0.0|100
0|2021-12-17|31648.0|0|31648.0|0|472.0|0|0.0|100
0|2021-12-18|31658.0|0|31658.0|0|472.0|0|0.0|100
0|2021-12-19|31658.0|0|31658.0|0|472.0|0|0.0|100
0|2021-12-20|31718.0|0|31718.0|0|472.0|0|0.0|100
0|2021-12-21|31774.0|0|31774.0|0|472.0|0|0.0|100
0|2021-12-22|31830.0|0|31830.0|0|474.0|0|0.0|100
0|2021-12-23|31891.0|0|31891.0|0|474.0|0|0.0|100
0|2021-12-24|31891.0|0|31891.0|0|474.0|0|0.0|100
0|2021-12-25|31891.0|0|31891.0|0|474.0|0|0.0|100
0|2021-12-26|31891.0|0|31891.0|0|474.0|0|0.0|100
0|2021-12-27|31983.0|0|31983.0|0|483.0|0|0.0|100
0|2021-12-28|32082.0|0|32082.0|0|488.0|0|0.0|100
0|2021-12-29|32147.0|0|32147.0|0|490.0|0|0.0|100
0|2021-12-30|32238.0|0|32238.0|0|490.0|0|0.0|100
0|2021-12-31|32238.0|0|32238.0|0|490.0|0|0.0|100
0|2022-01-01|32238.0|0|32238.0|0|490.0|0|0.0|100
0|2022-01-02|32238.0|0|32238.0|0|490.0|0|0.0|100
