|dates|Meagher_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Meagher_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Meagher_Montana_UnitedStates.Male_Total_Population.data|Meagher_Montana_UnitedStates.Male_Total_Population.missing|Meagher_Montana_UnitedStates.Female_Total_Population.data|Meagher_Montana_UnitedStates.Female_Total_Population.missing|Meagher_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Meagher_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-10-18|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-10-19|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-10-20|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-10-21|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-10-22|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-10-23|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-10-24|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-10-25|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-10-26|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-10-27|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-10-28|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-10-29|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-10-30|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-10-31|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-01|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-02|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-03|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-04|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-05|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-06|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-07|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-08|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-09|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-10|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-11|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-12|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-13|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-14|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-15|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-16|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-17|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-18|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-19|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-20|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-21|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-22|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-23|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-24|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-25|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-26|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-27|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-28|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-29|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-11-30|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-01|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-02|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-03|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-04|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-05|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-06|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-07|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-08|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-09|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-10|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-11|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-12|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-13|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-14|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-15|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-16|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-17|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-18|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-19|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-20|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-21|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-22|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-23|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-24|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-25|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-26|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-27|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-28|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-29|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-30|573.0|0|943.0|0|923.0|0|361.0|0
0|2021-12-31|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-01|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-02|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-03|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-04|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-05|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-06|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-07|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-08|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-09|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-10|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-11|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-12|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-13|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-14|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-15|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-16|573.0|0|943.0|0|923.0|0|361.0|0
0|2022-01-17|573.0|0|943.0|0|923.0|0|361.0|0
