|dates|Finney_Kansas_UnitedStates.JHU_ConfirmedCases.data|Finney_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Finney_Kansas_UnitedStates.NYT_ConfirmedCases.data|Finney_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Finney_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Finney_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Finney_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Finney_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7297.0|0|7271.0|0|81.0|0|0.0|100
0|2021-10-18|7297.0|0|7297.0|0|82.0|0|0.0|100
0|2021-10-19|7363.0|0|7297.0|0|82.0|0|0.0|100
0|2021-10-20|7385.0|0|7297.0|0|84.0|0|0.0|100
0|2021-10-21|7410.0|0|7363.0|0|84.0|0|0.0|100
0|2021-10-22|7416.0|0|7385.0|0|84.0|0|0.0|100
0|2021-10-23|7416.0|0|7385.0|0|84.0|0|0.0|100
0|2021-10-24|7416.0|0|7385.0|0|84.0|0|0.0|100
0|2021-10-25|7469.0|0|7416.0|0|85.0|0|0.0|100
0|2021-10-26|7477.0|0|7416.0|0|85.0|0|0.0|100
0|2021-10-27|7502.0|0|7469.0|0|85.0|0|0.0|100
0|2021-10-28|7519.0|0|7477.0|0|85.0|0|0.0|100
0|2021-10-29|7535.0|0|7519.0|0|88.0|0|0.0|100
0|2021-10-30|7535.0|0|7519.0|0|88.0|0|0.0|100
0|2021-10-31|7535.0|0|7519.0|0|88.0|0|0.0|100
0|2021-11-01|7580.0|0|7535.0|0|89.0|0|0.0|100
0|2021-11-02|7586.0|0|7535.0|0|89.0|0|0.0|100
0|2021-11-03|7609.0|0|7580.0|0|89.0|0|0.0|100
0|2021-11-04|7620.0|0|7580.0|0|89.0|0|0.0|100
0|2021-11-05|7654.0|0|7609.0|0|89.0|0|0.0|100
0|2021-11-06|7654.0|0|7609.0|0|89.0|0|0.0|100
0|2021-11-07|7654.0|0|7609.0|0|89.0|0|0.0|100
0|2021-11-08|7703.0|0|7620.0|0|89.0|0|0.0|100
0|2021-11-09|7723.0|0|7654.0|0|89.0|0|0.0|100
